#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  42 372
# Band-Index    1
   0.00000    -43.831982    -43.831982
   0.01744    -43.831982    -43.831982
   0.03487    -43.831982    -43.831981
   0.05231    -43.831982    -43.831982
   0.06974    -43.831982    -43.831981
   0.08718    -43.831981    -43.831980
   0.10461    -43.831981    -43.831980
   0.10461    -43.831981    -43.831980
   0.12205    -43.831981    -43.831980
   0.13948    -43.831981    -43.831981
   0.15692    -43.831981    -43.831981
   0.17435    -43.831982    -43.831981
   0.19179    -43.831982    -43.831981
   0.20922    -43.831982    -43.831982
   0.20922    -43.831982    -43.831982
   0.23388    -43.831981    -43.831981
   0.25854    -43.831981    -43.831981
   0.28320    -43.831981    -43.831981
   0.30785    -43.831982    -43.831982
   0.33251    -43.831982    -43.831982
   0.35717    -43.831982    -43.831982
   0.35717    -43.831982    -43.831982
   0.38183    -43.831982    -43.831982
   0.40648    -43.831982    -43.831982
   0.43114    -43.831981    -43.831981
   0.45580    -43.831981    -43.831981
   0.48046    -43.831981    -43.831981
   0.50511    -43.831982    -43.831982
   0.50511    -43.831982    -43.831982
   0.52255    -43.831981    -43.831982
   0.53998    -43.831981    -43.831982
   0.55742    -43.831981    -43.831981
   0.57485    -43.831981    -43.831981
   0.59229    -43.831980    -43.831981
   0.60972    -43.831980    -43.831981
   0.60972    -43.831980    -43.831981
   0.62716    -43.831980    -43.831981
   0.64460    -43.831981    -43.831982
   0.66203    -43.831982    -43.831982
   0.67947    -43.831981    -43.831982
   0.69690    -43.831982    -43.831982
   0.71434    -43.831982    -43.831982
 
# Band-Index    2
   0.71434    -43.831803    -43.831803
   0.69690    -43.831803    -43.831803
   0.67947    -43.831803    -43.831803
   0.66203    -43.831803    -43.831803
   0.64460    -43.831803    -43.831803
   0.62716    -43.831802    -43.831802
   0.60972    -43.831802    -43.831802
   0.60972    -43.831802    -43.831802
   0.59229    -43.831802    -43.831802
   0.57485    -43.831803    -43.831802
   0.55742    -43.831803    -43.831803
   0.53998    -43.831803    -43.831803
   0.52255    -43.831803    -43.831803
   0.50511    -43.831803    -43.831803
   0.50511    -43.831803    -43.831803
   0.48046    -43.831803    -43.831803
   0.45580    -43.831803    -43.831803
   0.43114    -43.831802    -43.831802
   0.40648    -43.831803    -43.831803
   0.38183    -43.831803    -43.831803
   0.35717    -43.831803    -43.831803
   0.35717    -43.831803    -43.831803
   0.33251    -43.831803    -43.831803
   0.30785    -43.831803    -43.831803
   0.28320    -43.831802    -43.831802
   0.25854    -43.831803    -43.831803
   0.23388    -43.831803    -43.831803
   0.20922    -43.831803    -43.831803
   0.20922    -43.831803    -43.831803
   0.19179    -43.831803    -43.831803
   0.17435    -43.831803    -43.831803
   0.15692    -43.831803    -43.831803
   0.13948    -43.831802    -43.831803
   0.12205    -43.831802    -43.831802
   0.10461    -43.831802    -43.831802
   0.10461    -43.831802    -43.831802
   0.08718    -43.831802    -43.831802
   0.06974    -43.831803    -43.831803
   0.05231    -43.831803    -43.831803
   0.03487    -43.831803    -43.831803
   0.01744    -43.831803    -43.831803
   0.00000    -43.831803    -43.831803
 
# Band-Index    3
   0.00000    -43.441960    -43.441960
   0.01744    -43.441960    -43.441960
   0.03487    -43.441960    -43.441960
   0.05231    -43.441960    -43.441960
   0.06974    -43.441959    -43.441959
   0.08718    -43.441959    -43.441959
   0.10461    -43.441959    -43.441959
   0.10461    -43.441959    -43.441959
   0.12205    -43.441959    -43.441959
   0.13948    -43.441959    -43.441959
   0.15692    -43.441959    -43.441959
   0.17435    -43.441959    -43.441959
   0.19179    -43.441959    -43.441959
   0.20922    -43.441959    -43.441959
   0.20922    -43.441959    -43.441959
   0.23388    -43.441959    -43.441959
   0.25854    -43.441959    -43.441959
   0.28320    -43.441959    -43.441959
   0.30785    -43.441960    -43.441960
   0.33251    -43.441960    -43.441960
   0.35717    -43.441960    -43.441960
   0.35717    -43.441960    -43.441960
   0.38183    -43.441960    -43.441960
   0.40648    -43.441960    -43.441960
   0.43114    -43.441959    -43.441959
   0.45580    -43.441959    -43.441959
   0.48046    -43.441959    -43.441959
