#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  60 392
# Band-Index    1
   0.00000    -45.337123    -45.337123
   0.01615    -45.337125    -45.337125
   0.03230    -45.337124    -45.337125
   0.04845    -45.337123    -45.337124
   0.06460    -45.337123    -45.337123
   0.08074    -45.337122    -45.337124
   0.09689    -45.337122    -45.337124
   0.11304    -45.337123    -45.337124
   0.12919    -45.337123    -45.337124
   0.14534    -45.337123    -45.337124
   0.14534    -45.337123    -45.337124
   0.16149    -45.337123    -45.337124
   0.17764    -45.337123    -45.337124
   0.19379    -45.337125    -45.337125
   0.20994    -45.337124    -45.337124
   0.22608    -45.337125    -45.337125
   0.24223    -45.337125    -45.337124
   0.25838    -45.337123    -45.337124
   0.27453    -45.337123    -45.337124
   0.29068    -45.337123    -45.337124
   0.29068    -45.337123    -45.337124
   0.31352    -45.337124    -45.337124
   0.33636    -45.337124    -45.337124
   0.35919    -45.337124    -45.337124
   0.38203    -45.337124    -45.337124
   0.40487    -45.337125    -45.337124
   0.42771    -45.337124    -45.337123
   0.45055    -45.337124    -45.337123
   0.47338    -45.337124    -45.337125
   0.49622    -45.337123    -45.337123
   0.49622    -45.337123    -45.337123
   0.51906    -45.337125    -45.337124
   0.54190    -45.337123    -45.337124
   0.56474    -45.337123    -45.337124
   0.58757    -45.337124    -45.337125
   0.61041    -45.337124    -45.337124
   0.63325    -45.337124    -45.337124
   0.65609    -45.337124    -45.337124
   0.67893    -45.337124    -45.337124
   0.70176    -45.337123    -45.337124
   0.70176    -45.337123    -45.337124
   0.71791    -45.337124    -45.337123
   0.73406    -45.337124    -45.337123
   0.75021    -45.337124    -45.337125
   0.76636    -45.337125    -45.337125
   0.78251    -45.337124    -45.337124
   0.79866    -45.337125    -45.337125
   0.81481    -45.337124    -45.337123
   0.83096    -45.337124    -45.337123
   0.84710    -45.337124    -45.337123
   0.84710    -45.337124    -45.337123
   0.86325    -45.337124    -45.337123
   0.87940    -45.337124    -45.337123
   0.89555    -45.337124    -45.337122
   0.91170    -45.337124    -45.337122
   0.92785    -45.337123    -45.337123
   0.94400    -45.337124    -45.337123
   0.96015    -45.337125    -45.337124
   0.97630    -45.337125    -45.337125
   0.99244    -45.337123    -45.337123
 
# Band-Index    2
   0.99244    -45.087598    -45.087598
   0.97630    -45.087599    -45.087600
   0.96015    -45.087599    -45.087600
   0.94400    -45.087598    -45.087599
   0.92785    -45.087597    -45.087598
   0.91170    -45.087597    -45.087599
   0.89555    -45.087597    -45.087599
   0.87940    -45.087597    -45.087599
   0.86325    -45.087598    -45.087599
   0.84710    -45.087598    -45.087599
   0.84710    -45.087598    -45.087599
   0.83096    -45.087598    -45.087599
   0.81481    -45.087598    -45.087599
   0.79866    -45.087599    -45.087600
   0.78251    -45.087599    -45.087600
   0.76636    -45.087600    -45.087600
   0.75021    -45.087600    -45.087600
   0.73406    -45.087599    -45.087599
   0.71791    -45.087599    -45.087599
   0.70176    -45.087599    -45.087599
   0.70176    -45.087599    -45.087599
   0.67893    -45.087599    -45.087599
   0.65609    -45.087599    -45.087599
   0.63325    -45.087599    -45.087599
   0.61041    -45.087599    -45.087599
   0.58757    -45.087600    -45.087599
   0.56474    -45.087599    -45.087598
   0.54190    -45.087599    -45.087598
   0.51906    -45.087599    -45.087599
   0.49622    -45.087598    -45.087598
   0.49622    -45.087598    -45.087598
   0.47338    -45.087599    -45.087599
   0.45055    -45.087598    -45.087599
   0.42771    -45.087598    -45.087599
   0.40487    -45.087599    -45.087600
   0.38203    -45.087599    -45.087599
   0.35919    -45.087599    -45.087599
   0.33636    -45.087599    -45.087599
   0.31352    -45.087599    -45.087599
   0.29068    -45.087599    -45.087599
   0.29068    -45.087599    -45.087599
   0.27453    -45.087599    -45.087599
   0.25838    -45.087599    -45.087599
   0.24223    -45.087600    -45.087600
   0.22608    -45.087600    -45.087600
   0.20994    -45.087600    -45.087599
   0.19379    -45.087600    -45.087599
   0.17764    -45.087599    -45.087598
   0.16149    -45.087599    -45.087598
   0.14534    -45.087599    -45.087598
   0.14534    -45.087599    -45.087598
   0.12919    -45.087599    -45.087598
   0.11304    -45.087599    -45.087597
   0.09689    -45.087599    -45.087597
   0.08074    -45.087599    -45.087597
   0.06460    -45.087598    -45.087597
   0.04845    -45.087599    -45.087598
   0.03230    -45.087600    -45.087599
   0.01615    -45.087600    -45.087599
   0.00000    -45.087598    -45.087598
 
# Band-Index    3
   0.00000    -44.895530    -44.895530
   0.01615    -44.895531    -44.895531
   0.03230    -44.895531    -44.895531
   0.04845    -44.895530    -44.895530
   0.06460    -44.895530    -44.895530
   0.08074    -44.895530    -44.895530
   0.09689    -44.895529    -44.895529
   0.11304    -44.895530    -44.895530
   0.12919    -44.895530    -44.895530
   0.14534    -44.895529    -44.895530
   0.14534    -44.895529    -44.895530
   0.16149    -44.895530    -44.895530
   0.17764    -44.895530    -44.895530
   0.19379    -44.895530    -44.895530
   0.20994    -44.895530    -44.895530
   0.22608    -44.895530    -44.895530
   0.24223    -44.895531    -44.895531
   0.25838    -44.895530    -44.895530
   0.27453    -44.895530    -44.895530
   0.29068    -44.895530    -44.895530
   0.29068    -44.895530    -44.895530
   0.31352    -44.895530    -44.895530
   0.33636    -44.895531    -44.895531
   0.35919    -44.895530    -44.895530
   0.38203    -44.895530    -44.895530
   0.40487    -44.895531    -44.895530
   0.42771    -44.895530    -44.895530
   0.45055    -44.895530    -44.895530
   0.47338    -44.895531    -44.895531
   0.49622    -44.895530    -44.895530
