#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  60 368
# Band-Index    1
   0.00000    -44.449133    -44.449133
   0.01316    -44.449132    -44.449132
   0.02633    -44.449133    -44.449132
   0.03949    -44.449132    -44.449132
   0.05266    -44.449132    -44.449132
   0.06582    -44.449131    -44.449131
   0.07899    -44.449132    -44.449132
   0.09215    -44.449132    -44.449131
   0.10532    -44.449132    -44.449131
   0.11848    -44.449132    -44.449132
   0.11848    -44.449132    -44.449132
   0.13165    -44.449132    -44.449131
   0.14481    -44.449132    -44.449132
   0.15798    -44.449132    -44.449132
   0.17114    -44.449132    -44.449132
   0.18431    -44.449132    -44.449132
   0.19747    -44.449132    -44.449132
   0.21064    -44.449133    -44.449133
   0.22380    -44.449134    -44.449134
   0.23697    -44.449133    -44.449133
   0.23697    -44.449133    -44.449133
   0.25559    -44.449134    -44.449134
   0.27420    -44.449134    -44.449133
   0.29282    -44.449133    -44.449131
   0.31144    -44.449132    -44.449132
   0.33006    -44.449132    -44.449131
   0.34868    -44.449132    -44.449131
   0.36729    -44.449132    -44.449132
   0.38591    -44.449132    -44.449132
   0.40453    -44.449133    -44.449133
   0.40453    -44.449133    -44.449133
   0.42315    -44.449132    -44.449132
   0.44176    -44.449132    -44.449132
   0.46038    -44.449131    -44.449132
   0.47900    -44.449131    -44.449132
   0.49762    -44.449132    -44.449132
   0.51624    -44.449131    -44.449133
   0.53485    -44.449133    -44.449134
   0.55347    -44.449134    -44.449134
   0.57209    -44.449133    -44.449133
   0.57209    -44.449133    -44.449133
   0.58526    -44.449134    -44.449134
   0.59842    -44.449133    -44.449133
   0.61158    -44.449132    -44.449132
   0.62475    -44.449132    -44.449132
   0.63791    -44.449132    -44.449132
   0.65108    -44.449132    -44.449132
   0.66424    -44.449132    -44.449132
   0.67741    -44.449131    -44.449132
   0.69057    -44.449132    -44.449132
   0.69057    -44.449132    -44.449132
   0.70374    -44.449131    -44.449132
   0.71690    -44.449131    -44.449132
   0.73007    -44.449132    -44.449132
   0.74323    -44.449131    -44.449131
   0.75640    -44.449132    -44.449132
   0.76956    -44.449132    -44.449132
   0.78273    -44.449132    -44.449133
   0.79589    -44.449132    -44.449132
   0.80906    -44.449133    -44.449133
 
# Band-Index    2
   0.80906    -44.448201    -44.448201
   0.79589    -44.448201    -44.448201
   0.78273    -44.448201    -44.448201
   0.76956    -44.448200    -44.448200
   0.75640    -44.448200    -44.448201
   0.74323    -44.448200    -44.448200
   0.73007    -44.448200    -44.448200
   0.71690    -44.448200    -44.448200
   0.70374    -44.448201    -44.448200
   0.69057    -44.448201    -44.448200
   0.69057    -44.448201    -44.448200
   0.67741    -44.448200    -44.448200
   0.66424    -44.448201    -44.448200
   0.65108    -44.448201    -44.448200
   0.63791    -44.448201    -44.448200
   0.62475    -44.448201    -44.448200
   0.61158    -44.448201    -44.448201
   0.59842    -44.448202    -44.448202
   0.58526    -44.448202    -44.448202
   0.57209    -44.448202    -44.448202
   0.57209    -44.448202    -44.448202
   0.55347    -44.448203    -44.448202
   0.53485    -44.448202    -44.448201
   0.51624    -44.448201    -44.448200
   0.49762    -44.448201    -44.448201
   0.47900    -44.448201    -44.448200
   0.46038    -44.448201    -44.448200
   0.44176    -44.448200    -44.448200
   0.42315    -44.448200    -44.448200
   0.40453    -44.448201    -44.448201
   0.40453    -44.448201    -44.448201
   0.38591    -44.448200    -44.448200
   0.36729    -44.448200    -44.448200
   0.34868    -44.448200    -44.448201
   0.33006    -44.448200    -44.448201
   0.31144    -44.448201    -44.448201
   0.29282    -44.448200    -44.448201
   0.27420    -44.448201    -44.448202
   0.25559    -44.448202    -44.448203
   0.23697    -44.448202    -44.448202
   0.23697    -44.448202    -44.448202
   0.22380    -44.448202    -44.448202
   0.21064    -44.448202    -44.448202
   0.19747    -44.448201    -44.448201
   0.18431    -44.448200    -44.448201
   0.17114    -44.448200    -44.448201
   0.15798    -44.448200    -44.448201
   0.14481    -44.448200    -44.448201
   0.13165    -44.448200    -44.448200
   0.11848    -44.448200    -44.448201
   0.11848    -44.448200    -44.448201
   0.10532    -44.448200    -44.448201
   0.09215    -44.448200    -44.448200
   0.07899    -44.448200    -44.448200
   0.06582    -44.448200    -44.448200
   0.05266    -44.448201    -44.448200
   0.03949    -44.448200    -44.448200
   0.02633    -44.448201    -44.448201
   0.01316    -44.448201    -44.448201
   0.00000    -44.448201    -44.448201
 
# Band-Index    3
   0.00000    -43.759944    -43.759944
   0.01316    -43.759943    -43.759943
   0.02633    -43.759943    -43.759943
