#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  60 312
# Band-Index    1
   0.89663    -44.740094    -44.740095
   0.91280    -44.740095    -44.740095
   0.92897    -44.740095    -44.740094
   0.94514    -44.740094    -44.740094
   0.96131    -44.740094    -44.740093
   0.97747    -44.740092    -44.740092
   0.99364    -44.740091    -44.740091
 
# Band-Index    4
   0.99364    -41.957531    -41.957531
   0.97747    -41.957531    -41.957532
   0.96131    -41.957534    -41.957533
   0.94514    -41.957534    -41.957534
   0.92897    -41.957535    -41.957535
   0.91280    -41.957535    -41.957535
   0.89663    -41.957534    -41.957535
   0.88046    -41.957532    -41.957533
   0.86430    -41.957532    -41.957533
   0.84813    -41.957531    -41.957533
   0.84813    -41.957531    -41.957533
   0.83196    -41.957533    -41.957533
   0.81579    -41.957533    -41.957533
   0.79962    -41.957533    -41.957534
   0.78345    -41.957533    -41.957533
   0.76729    -41.957533    -41.957534
   0.75112    -41.957532    -41.957532
   0.73495    -41.957532    -41.957532
   0.71878    -41.957531    -41.957531
   0.70261    -41.957531    -41.957531
   0.70261    -41.957531    -41.957531
   0.67975    -41.957532    -41.957532
   0.65688    -41.957532    -41.957532
   0.63401    -41.957535    -41.957532
   0.61115    -41.957535    -41.957532
   0.58828    -41.957534    -41.957534
   0.56542    -41.957534    -41.957531
   0.54255    -41.957533    -41.957532
   0.51969    -41.957533    -41.957531
   0.49682    -41.957531    -41.957531
   0.49682    -41.957531    -41.957531
   0.47396    -41.957531    -41.957533
   0.45109    -41.957532    -41.957533
   0.42822    -41.957531    -41.957534
   0.40536    -41.957534    -41.957534
   0.38249    -41.957532    -41.957535
   0.35963    -41.957532    -41.957535
   0.33676    -41.957532    -41.957532
   0.31390    -41.957532    -41.957532
   0.29103    -41.957531    -41.957531
   0.29103    -41.957531    -41.957531
   0.27486    -41.957531    -41.957531
   0.25869    -41.957532    -41.957532
   0.24253    -41.957532    -41.957532
   0.22636    -41.957534    -41.957533
   0.21019    -41.957533    -41.957533
   0.19402    -41.957534    -41.957533
   0.17785    -41.957533    -41.957533
   0.16168    -41.957533    -41.957533
   0.14552    -41.957533    -41.957531
   0.14552    -41.957533    -41.957531
   0.12935    -41.957533    -41.957532
   0.11318    -41.957533    -41.957532
   0.09701    -41.957535    -41.957534
   0.08084    -41.957535    -41.957535
   0.06467    -41.957535    -41.957535
   0.04851    -41.957534    -41.957534
   0.03234    -41.957533    -41.957534
   0.01617    -41.957532    -41.957531
   0.00000    -41.957531    -41.957531
 
# Band-Index    5
   0.00000    -41.951644    -41.951644
   0.01617    -41.951645    -41.951646
   0.03234    -41.951647    -41.951647
   0.04851    -41.951648    -41.951648
   0.06467    -41.951649    -41.951649
   0.08084    -41.951649    -41.951649
   0.09701    -41.951648    -41.951648
   0.11318    -41.951646    -41.951647
   0.12935    -41.951646    -41.951647
   0.14552    -41.951645    -41.951647
   0.14552    -41.951645    -41.951647
   0.16168    -41.951647    -41.951647
   0.17785    -41.951647    -41.951647
   0.19402    -41.951647    -41.951648
   0.21019    -41.951647    -41.951647
   0.22636    -41.951647    -41.951648
   0.24253    -41.951646    -41.951646
   0.25869    -41.951645    -41.951645
   0.27486    -41.951645    -41.951645
   0.29103    -41.951645    -41.951645
   0.29103    -41.951645    -41.951645
   0.31390    -41.951645    -41.951646
   0.33676    -41.951646    -41.951646
   0.35963    -41.951649    -41.951646
   0.38249    -41.951649    -41.951646
   0.40536    -41.951648    -41.951648
   0.42822    -41.951648    -41.951645
   0.45109    -41.951647    -41.951646
   0.47396    -41.951647    -41.951645
   0.49682    -41.951644    -41.951644
   0.49682    -41.951644    -41.951644
   0.51969    -41.951645    -41.951647
   0.54255    -41.951646    -41.951647
   0.56542    -41.951645    -41.951648
   0.58828    -41.951648    -41.951648
   0.61115    -41.951646    -41.951649
   0.63401    -41.951646    -41.951649
   0.65688    -41.951646    -41.951646
   0.67975    -41.951646    -41.951645
   0.70261    -41.951645    -41.951645
   0.70261    -41.951645    -41.951645
   0.71878    -41.951645    -41.951645
   0.73495    -41.951645    -41.951645
   0.75112    -41.951646    -41.951646
   0.76729    -41.951648    -41.951647
   0.78345    -41.951647    -41.951647
   0.79962    -41.951648    -41.951647
   0.81579    -41.951647    -41.951647
   0.83196    -41.951647    -41.951647
   0.84813    -41.951647    -41.951645
   0.84813    -41.951647    -41.951645
   0.86430    -41.951647    -41.951646
   0.88046    -41.951647    -41.951646
   0.89663    -41.951648    -41.951648
   0.91280    -41.951649    -41.951649
   0.92897    -41.951649    -41.951649
   0.94514    -41.951648    -41.951648
   0.96131    -41.951647    -41.951647
   0.97747    -41.951646    -41.951645
   0.99364    -41.951644    -41.951644
 
# Band-Index    6
   0.99364    -41.684796    -41.684796
   0.97747    -41.684798    -41.684798
   0.96131    -41.684798    -41.684798
   0.94514    -41.684798    -41.684798
   0.92897    -41.684798    -41.684798
   0.91280    -41.684797    -41.684797
   0.89663    -41.684798    -41.684798
   0.88046    -41.684798    -41.684798
   0.86430    -41.684798    -41.684798
   0.84813    -41.684800    -41.684800
   0.84813    -41.684800    -41.684800
   0.83196    -41.684798    -41.684798
   0.81579    -41.684797    -41.684797
   0.79962    -41.684798    -41.684798
   0.78345    -41.684798    -41.684798
   0.76729    -41.684797    -41.684797
   0.75112    -41.684796    -41.684796
   0.73495    -41.684796    -41.684796
   0.71878    -41.684795    -41.684795
   0.70261    -41.684795    -41.684795
   0.70261    -41.684795    -41.684795
   0.67975    -41.684795    -41.684795
   0.65688    -41.684796    -41.684796
   0.63401    -41.684798    -41.684798
   0.61115    -41.684798    -41.684798
   0.58828    -41.684798    -41.684798
   0.56542    -41.684798    -41.684798
   0.54255    -41.684799    -41.684799
   0.51969    -41.684798    -41.684798
   0.49682    -41.684796    -41.684796
   0.49682    -41.684796    -41.684796
   0.47396    -41.684798    -41.684798
   0.45109    -41.684799    -41.684799
   0.42822    -41.684798    -41.684798
   0.40536    -41.684798    -41.684798
   0.38249    -41.684798    -41.684798
   0.35963    -41.684798    -41.684798
   0.33676    -41.684796    -41.684796
   0.31390    -41.684795    -41.684795
   0.29103    -41.684795    -41.684795
   0.29103    -41.684795    -41.684795
   0.27486    -41.684795    -41.684795
   0.25869    -41.684796    -41.684796
   0.24253    -41.684796    -41.684796
   0.22636    -41.684797    -41.684797
   0.21019    -41.684798    -41.684798
   0.19402    -41.684798    -41.684798
   0.17785    -41.684797    -41.684797
   0.16168    -41.684798    -41.684798
   0.14552    -41.684800    -41.684800
   0.14552    -41.684800    -41.684800
   0.12935    -41.684798    -41.684798
   0.11318    -41.684798    -41.684798
   0.09701    -41.684798    -41.684798
   0.08084    -41.684797    -41.684797
   0.06467    -41.684798    -41.684798
   0.04851    -41.684798    -41.684798
   0.03234    -41.684798    -41.684798
   0.01617    -41.684798    -41.684798
   0.00000    -41.684796    -41.684796
 
# Band-Index    7
   0.00000    -22.735587    -22.735587
   0.01617    -22.735590    -22.735590
   0.03234    -22.735597    -22.735597
   0.04851    -22.735598    -22.735598
   0.06467    -22.735599    -22.735599
   0.08084    -22.735599    -22.735599
   0.09701    -22.735599    -22.735599
   0.11318    -22.735602    -22.735602
   0.12935    -22.735600    -22.735600
   0.14552    -22.735602    -22.735603
   0.14552    -22.735602    -22.735603
   0.16168    -22.735602    -22.735602
   0.17785    -22.735600    -22.735600
   0.19402    -22.735595    -22.735597
   0.21019    -22.735596    -22.735597
   0.22636    -22.735594    -22.735594
   0.24253    -22.735589    -22.735589
   0.25869    -22.735590    -22.735590
   0.27486    -22.735589    -22.735589
   0.29103    -22.735588    -22.735588
   0.29103    -22.735588    -22.735588
   0.31390    -22.735590    -22.735591
   0.33676    -22.735590    -22.735590
   0.35963    -22.735597    -22.735597
   0.38249    -22.735596    -22.735597
   0.40536    -22.735595    -22.735595
   0.42822    -22.735591    -22.735590
   0.45109    -22.735596    -22.735596
   0.47396    -22.735593    -22.735593
   0.49682    -22.735587    -22.735587
   0.49682    -22.735587    -22.735587
   0.51969    -22.735593    -22.735593
   0.54255    -22.735596    -22.735596
   0.56542    -22.735590    -22.735591
   0.58828    -22.735595    -22.735595
   0.61115    -22.735597    -22.735596
   0.63401    -22.735597    -22.735597
   0.65688    -22.735590    -22.735590
   0.67975    -22.735591    -22.735590
   0.70261    -22.735588    -22.735588
   0.70261    -22.735588    -22.735588
   0.71878    -22.735589    -22.735589
   0.73495    -22.735590    -22.735590
   0.75112    -22.735589    -22.735589
   0.76729    -22.735594    -22.735594
