#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  90 160
# Band-Index    1
   0.00000    -45.028961    -45.028961
   0.01413    -45.028960    -45.028960
   0.02827    -45.028959    -45.028959
   0.04240    -45.028958    -45.028959
   0.05654    -45.028958    -45.028958
   0.07067    -45.028957    -45.028958
   0.08481    -45.028958    -45.028958
   0.09894    -45.028957    -45.028957
   0.11308    -45.028958    -45.028958
   0.12721    -45.028959    -45.028959
   0.14135    -45.028958    -45.028958
   0.15548    -45.028958    -45.028959
   0.16962    -45.028959    -45.028959
   0.18375    -45.028958    -45.028959
   0.19789    -45.028958    -45.028959
   0.19789    -45.028958    -45.028959
   0.21202    -45.028958    -45.028958
   0.22616    -45.028958    -45.028958
   0.24029    -45.028957    -45.028958
   0.25443    -45.028958    -45.028957
   0.26856    -45.028958    -45.028958
   0.28270    -45.028959    -45.028959
   0.29683    -45.028958    -45.028958
   0.31097    -45.028957    -45.028958
   0.32510    -45.028957    -45.028957
   0.33924    -45.028956    -45.028956
   0.35337    -45.028957    -45.028957
   0.36751    -45.028956    -45.028956
   0.38164    -45.028957    -45.028957
   0.39577    -45.028956    -45.028956
   0.39577    -45.028956    -45.028956
   0.41576    -45.028957    -45.028958
   0.43575    -45.028957    -45.028957
   0.45574    -45.028955    -45.028956
   0.47573    -45.028956    -45.028958
   0.49572    -45.028957    -45.028959
   0.51571    -45.028956    -45.028958
   0.53570    -45.028956    -45.028957
   0.55569    -45.028956    -45.028958
   0.57568    -45.028957    -45.028958
   0.59567    -45.028958    -45.028958
   0.61566    -45.028959    -45.028957
   0.63565    -45.028960    -45.028959
   0.65564    -45.028960    -45.028959
   0.67563    -45.028961    -45.028961
   0.67563    -45.028961    -45.028961
   0.69562    -45.028959    -45.028960
   0.71561    -45.028959    -45.028960
   0.73560    -45.028957    -45.028959
   0.75559    -45.028958    -45.028958
   0.77558    -45.028958    -45.028957
   0.79557    -45.028958    -45.028956
   0.81556    -45.028957    -45.028956
   0.83555    -45.028958    -45.028956
   0.85554    -45.028959    -45.028957
   0.87553    -45.028958    -45.028956
   0.89552    -45.028956    -45.028955
   0.91551    -45.028957    -45.028957
   0.93549    -45.028958    -45.028957
   0.95548    -45.028956    -45.028956
   0.95548    -45.028956    -45.028956
   0.96962    -45.028957    -45.028957
   0.98375    -45.028956    -45.028956
   0.99789    -45.028957    -45.028957
   1.01202    -45.028956    -45.028956
   1.02616    -45.028957    -45.028957
   1.04029    -45.028958    -45.028957
   1.05443    -45.028958    -45.028958
   1.06856    -45.028959    -45.028959
   1.08270    -45.028958    -45.028958
   1.09683    -45.028957    -45.028958
   1.11097    -45.028958    -45.028957
   1.12510    -45.028958    -45.028958
   1.13924    -45.028958    -45.028958
   1.15337    -45.028959    -45.028958
   1.15337    -45.028959    -45.028958
   1.16751    -45.028959    -45.028958
   1.18164    -45.028959    -45.028959
   1.19578    -45.028959    -45.028958
   1.20991    -45.028958    -45.028958
   1.22405    -45.028959    -45.028959
   1.23818    -45.028958    -45.028958
   1.25232    -45.028957    -45.028957
   1.26645    -45.028958    -45.028958
   1.28059    -45.028958    -45.028957
   1.29472    -45.028958    -45.028958
   1.30885    -45.028959    -45.028958
   1.32299    -45.028959    -45.028959
   1.33712    -45.028960    -45.028960
   1.35126    -45.028961    -45.028961
 
# Band-Index    2
   1.35126    -45.027259    -45.027259
   1.33712    -45.027258    -45.027258
   1.32299    -45.027257    -45.027257
   1.30885    -45.027257    -45.027257
   1.29472    -45.027256    -45.027257
   1.28059    -45.027255    -45.027256
   1.26645    -45.027256    -45.027256
   1.25232    -45.027255    -45.027255
   1.23818    -45.027256    -45.027257
   1.22405    -45.027257    -45.027258
   1.20991    -45.027257    -45.027257
   1.19578    -45.027257    -45.027257
   1.18164    -45.027258    -45.027257
   1.16751    -45.027257    -45.027258
   1.15337    -45.027257    -45.027257
   1.15337    -45.027257    -45.027257
   1.13924    -45.027256    -45.027257
   1.12510    -45.027256    -45.027257
   1.11097    -45.027256    -45.027256
   1.09683    -45.027256    -45.027256
   1.08270    -45.027257    -45.027257
   1.06856    -45.027257    -45.027258
   1.05443    -45.027256    -45.027257
   1.04029    -45.027255    -45.027256
   1.02616    -45.027255    -45.027255
   1.01202    -45.027254    -45.027254
   0.99789    -45.027256    -45.027255
   0.98375    -45.027255    -45.027255
   0.96962    -45.027255    -45.027255
   0.95548    -45.027254    -45.027254
   0.95548    -45.027254    -45.027254
   0.93549    -45.027255    -45.027256
   0.91551    -45.027255    -45.027255
   0.89552    -45.027254    -45.027255
   0.87553    -45.027255    -45.027257
   0.85554    -45.027255    -45.027258
   0.83555    -45.027255    -45.027257
   0.81556    -45.027254    -45.027256
   0.79557    -45.027254    -45.027257
   0.77558    -45.027255    -45.027256
   0.75559    -45.027256    -45.027257
   0.73560    -45.027257    -45.027256
   0.71561    -45.027258    -45.027258
   0.69562    -45.027259    -45.027257
   0.67563    -45.027259    -45.027259
   0.67563    -45.027259    -45.027259
   0.65564    -45.027257    -45.027259
   0.63565    -45.027258    -45.027258
   0.61566    -45.027256    -45.027257
   0.59567    -45.027257    -45.027256
   0.57568    -45.027256    -45.027255
   0.55569    -45.027257    -45.027254
   0.53570    -45.027256    -45.027254
   0.51571    -45.027257    -45.027255
   0.49572    -45.027258    -45.027255
   0.47573    -45.027257    -45.027255
   0.45574    -45.027255    -45.027254
   0.43575    -45.027255    -45.027255
   0.41576    -45.027256    -45.027255
   0.39577    -45.027254    -45.027254
   0.39577    -45.027254    -45.027254
   0.38164    -45.027255    -45.027255
   0.36751    -45.027255    -45.027255
   0.35337    -45.027255    -45.027256
   0.33924    -45.027254    -45.027254
   0.32510    -45.027255    -45.027255
   0.31097    -45.027256    -45.027255
   0.29683    -45.027257    -45.027256
   0.28270    -45.027258    -45.027257
   0.26856    -45.027257    -45.027257
   0.25443    -45.027256    -45.027256
   0.24029    -45.027256    -45.027256
   0.22616    -45.027257    -45.027256
   0.21202    -45.027257    -45.027256
   0.19789    -45.027257    -45.027257
   0.19789    -45.027257    -45.027257
   0.18375    -45.027258    -45.027257
   0.16962    -45.027257    -45.027258
   0.15548    -45.027257    -45.027257
   0.14135    -45.027257    -45.027257
   0.12721    -45.027258    -45.027257
   0.11308    -45.027257    -45.027256
   0.09894    -45.027255    -45.027255
   0.08481    -45.027256    -45.027256
   0.07067    -45.027256    -45.027255
   0.05654    -45.027257    -45.027256
   0.04240    -45.027257    -45.027257
   0.02827    -45.027257    -45.027257
   0.01413    -45.027258    -45.027258
   0.00000    -45.027259    -45.027259
 
# Band-Index    3
   0.00000    -44.701760    -44.701760
   0.01413    -44.701758    -44.701758
   0.02827    -44.701758    -44.701758
   0.04240    -44.701758    -44.701758
   0.05654    -44.701757    -44.701757
   0.07067    -44.701757    -44.701757
   0.08481    -44.701757    -44.701757
   0.09894    -44.701757    -44.701757
   0.11308    -44.701757    -44.701757
   0.12721    -44.701758    -44.701758
   0.14135    -44.701757    -44.701757
   0.15548    -44.701757    -44.701757
   0.16962    -44.701758    -44.701758
   0.18375    -44.701759    -44.701759
   0.19789    -44.701759    -44.701759
   0.19789    -44.701759    -44.701759
   0.21202    -44.701759    -44.701759
   0.22616    -44.701758    -44.701758
   0.24029    -44.701758    -44.701758
   0.25443    -44.701758    -44.701758
