smiles,alter,number,group,CAS
CC([N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)C(C)P(=O)(O)O)P(=O)(O)O  ,0,38,P,
C(N)(N)(P(=O)(O)O)P(=O)(O)O  ,0,39,P,
CC1=C(C(=C(C(=C1CP(=O)(O)O)C)C)CP(=O)(O)O)C  ,0,40,P,
C1=CC(=NC=C1OP(=O)(O)O)C2=NC=C(C=C2)OP(=O)(O)O  ,0,41,P,
CC(C)(C1=C(C(=C(C(=C1Br)Br)C(C)(C)P(=O)(O)O)Br)Br)P(=O)(O)O  ,0,42,P,
C1=CC(=CC=C1C(F)P(=O)(O)O)C(F)P(=O)(O)O  ,0,43,P,
C1CN(CCN1P(=O)(O)O)P(=O)(O)O  ,0,44,P,
CC(C(=O)NC1=CC=C(C=C1)NC(=O)C(C)P(=O)(O)O)P(=O)(O)O  ,0,45,P,
C1=C[N+](=CC=C1C2=CC=[N+](C=C2)P(=O)(O)O)P(=O)(O)O  ,0,46,P,
C1=C[N+](=CC=C1C2=CC=[N+](C=C2)CP(=O)(O)O)CP(=O)(O)O  ,0,47,P,
CC([N+]1=CC=CC=C1C2=CC=CC=[N+]2C(C)P(=O)(O)O)P(=O)(O)O  ,0,48,P,
C(=C/P(=O)(O)O)\P(=O)(O)O  ,0,49,P,
C1C(=O)N(CC(=O)N1CP(=O)(O)O)CP(=O)(O)O  ,0,50,P,
C1=CC2=C(C=C1S(=O)(=O)O)N=C3C=CC(=CC3=N2)S(=O)(=O)O  ,0,1,S,
C(=O)(C(=O)S(=O)(=O)O)S(=O)(=O)O  ,0,2,S,
C1=CSC=CS1  ,0,3,S,
C1S(=O)CS1=O  ,0,4,S,
C1=CC(=CC=C1C(=O)C(=O)C2=CC=C(C=C2)S(=O)(=O)O)S(=O)(=O)O  ,0,5,S,
C1=CC(=S)C=CC1=S  ,0,6,S,
C1=CC(=CC=C1C2=CC=C(C=C2)S)S  ,0,7,S,
[O-]S(=O)S(=O)[O-]  ,0,8,S,
[O-]S(=O)(=O)[O-]  ,0,9,S,
C1=C(N=CC(=N1)S(=O)(=O)O)S(=O)(=O)O  ,0,10,S,
C(=C/S(=O)(=O)O)\S(=O)(=O)O  ,0,11,S,
C1=CC(=CC=C1C(=O)S)C(=O)S  ,0,12,S,
C1CN(CCN1C(=S)S)C(=S)S  ,0,13,S,
C1=CC(=CC=C1C2=CC=C(C=C2)S(=O)(=O)O)S(=O)(=O)O  ,0,14,S,
C1=C(C(=CC(=C1S(=O)(=O)O)O)S(=O)(=O)O)O  ,0,15,S,
C=CS(=O)(=O)C=C  ,0,16,S,
C1=C(C(=CC(=C1S(=O)(=O)O)N)S(=O)(=O)O)N  ,0,17,S,
C(CCS)CS  ,0,18,S,
C(CS(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+]  ,0,19,S,
[Na+].[Na+].[S-]SS[S-]  ,0,20,S,
C(CSSCCCS(=O)(=O)O)CS(=O)(=O)O  ,0,21,S,
C(=O)(C(=O)S)S  ,0,22,S,
CNS(=O)(=O)NC  ,0,23,S,
C1C2(COS(=O)O1)COS(=O)OC2  ,0,24,S,
[O-]S(=O)(=O)OOS(=O)(=O)[O-]  ,0,25,S,
C(C(O)S(=O)(=O)O)(O)S(=O)(=O)O  ,0,26,S,
C(=O)(S)SSSSC(=O)S  ,0,27,S,
C1(=C(C(=C(C(=C1Cl)S(=O)(=O)O)O)Cl)S(=O)(=O)O)O  ,0,28,S,
C1SCS1  ,0,29,S,
C(CSSCCCS(=O)(=O)[O-])CS(=O)(=O)[O-].[Na+].[Na+]  ,0,30,S,
C1C2(CSSS1)CSSSC2  ,0,31,S,
C(CCS(=O)(=O)[O-])CS(=O)(=O)[O-].[Na+].[Na+]  ,0,32,S,
C(CCC(=O)S)CC(=O)S  ,0,33,S,
C(CC(=O)S)C(=O)S  ,0,34,S,
[O-]S(=O)(=O)SSSSS(=O)(=O)[O-]  ,0,35,S,
N1=S=NSN=S=NS1  ,0,36,S,
C1=CC(=CC=C1NCS(=O)O)S(=O)(=O)C2=CC=C(C=C2)NCS(=O)O  ,0,37,S,
CC/C(=C(/CC)\C1=CC=C(C=C1)OS(=O)(=O)O)/C2=CC=C(C=C2)OS(=O)(=O)O  ,0,38,S,
C1CN(CCN1CC(CS(=O)(=O)O)O)CC(CS(=O)(=O)O)O  ,0,39,S,
CCC(C1=CC=C(C=C1)S(=O)(=O)[O-])C(CC)C2=CC=C(C=C2)S(=O)(=O)[O-].[K+].[K+]  ,0,40,S,
CC1(C(=S)C(C1=S)(C)C)C  ,0,41,S,
C1=CC(=CC=C1S(=O)(=O)O)S(=O)(=O)O  ,0,42,S,
C1=CC(=CC(=C1)S(=O)(=O)O)S(=O)(=O)C2=CC(=CC=C2)S(=O)(=O)O  ,0,43,S,
C1=CC2=C(C=C1S(=O)(=O)[O-])NC3=C(N2)C=C4C(=C3)N=C5C=CC(=CC5=N4)S(=O)(=O)[O-].[Na+].[Na+]  ,0,44,S,
[O-]S(=O)(=O)S(=O)(=O)[O-].[K+].[K+]  ,0,45,S,
C1=CC(=CC=C1N=NC2=CC=C(C=C2)S(=O)(=O)O)S(=O)(=O)O  ,0,46,S,
C1CN(CCN1CCS(=O)(=O)[O-])CCS(=O)(=O)[O-].[Na+].[Na+]  ,0,47,S,
C1=C[N+](=CC=C1C2=CC=[N+](C=C2)CCCS(=O)(=O)O)CCCS(=O)(=O)O  ,0,48,S,
C1CN(CCN1CCS(=O)(=O)[O-])CCS(=O)(=O)[O-].[K+].[K+]  ,0,49,S,
CC(C)(CN1CCCN(CCC1)CC(C)(C)S)S  ,0,50,S,
