#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  60 204
# Band-Index    1
   0.00000    -45.611064    -45.611064
   0.02296    -45.611066    -45.611066
   0.04591    -45.611066    -45.611066
   0.06887    -45.611064    -45.611065
   0.09182    -45.611065    -45.611065
   0.11478    -45.611063    -45.611065
   0.13773    -45.611064    -45.611065
   0.16069    -45.611065    -45.611064
   0.18365    -45.611067    -45.611065
   0.20660    -45.611067    -45.611065
   0.20660    -45.611067    -45.611065
   0.22956    -45.611068    -45.611065
   0.25251    -45.611069    -45.611066
   0.27547    -45.611068    -45.611066
   0.29842    -45.611066    -45.611064
   0.32138    -45.611065    -45.611062
   0.34434    -45.611065    -45.611064
   0.36729    -45.611065    -45.611066
   0.39025    -45.611065    -45.611067
   0.41320    -45.611066    -45.611066
   0.41320    -45.611066    -45.611066
   0.44567    -45.611066    -45.611066
   0.47813    -45.611065    -45.611066
   0.51060    -45.611063    -45.611065
   0.54306    -45.611064    -45.611064
   0.57552    -45.611062    -45.611063
   0.60799    -45.611065    -45.611066
   0.64045    -45.611065    -45.611066
   0.67292    -45.611066    -45.611066
   0.70538    -45.611064    -45.611064
   0.70538    -45.611064    -45.611064
   0.73785    -45.611066    -45.611066
   0.77031    -45.611066    -45.611065
   0.80277    -45.611066    -45.611065
   0.83524    -45.611063    -45.611062
   0.86770    -45.611064    -45.611064
   0.90017    -45.611065    -45.611063
   0.93263    -45.611066    -45.611065
   0.96510    -45.611066    -45.611066
   0.99756    -45.611066    -45.611066
   0.99756    -45.611066    -45.611066
   1.02051    -45.611067    -45.611065
   1.04347    -45.611066    -45.611065
   1.06643    -45.611064    -45.611065
   1.08938    -45.611062    -45.611065
   1.11234    -45.611064    -45.611066
   1.13529    -45.611066    -45.611068
   1.15825    -45.611066    -45.611069
   1.18120    -45.611065    -45.611068
   1.20416    -45.611065    -45.611067
   1.20416    -45.611065    -45.611067
   1.22712    -45.611065    -45.611067
   1.25007    -45.611064    -45.611065
   1.27303    -45.611065    -45.611064
   1.29598    -45.611065    -45.611063
   1.31894    -45.611065    -45.611065
   1.34189    -45.611065    -45.611064
   1.36485    -45.611066    -45.611066
   1.38781    -45.611066    -45.611066
   1.41076    -45.611064    -45.611064
 
# Band-Index    2
   1.41076    -45.373843    -45.373843
   1.38781    -45.373845    -45.373845
   1.36485    -45.373845    -45.373845
   1.34189    -45.373843    -45.373844
   1.31894    -45.373844    -45.373844
   1.29598    -45.373842    -45.373844
   1.27303    -45.373843    -45.373844
   1.25007    -45.373844    -45.373844
   1.22712    -45.373845    -45.373845
   1.20416    -45.373846    -45.373845
   1.20416    -45.373846    -45.373845
   1.18120    -45.373846    -45.373845
   1.15825    -45.373847    -45.373846
   1.13529    -45.373846    -45.373846
   1.11234    -45.373845    -45.373843
   1.08938    -45.373844    -45.373840
   1.06643    -45.373844    -45.373843
   1.04347    -45.373844    -45.373844
   1.02051    -45.373845    -45.373846
   0.99756    -45.373845    -45.373845
   0.99756    -45.373845    -45.373845
   0.96510    -45.373845    -45.373845
   0.93263    -45.373844    -45.373844
   0.90017    -45.373842    -45.373843
   0.86770    -45.373843    -45.373843
   0.83524    -45.373842    -45.373842
   0.80277    -45.373844    -45.373845
   0.77031    -45.373844    -45.373845
   0.73785    -45.373845    -45.373845
   0.70538    -45.373843    -45.373843
   0.70538    -45.373843    -45.373843
   0.67292    -45.373845    -45.373845
   0.64045    -45.373845    -45.373844
   0.60799    -45.373845    -45.373844
   0.57552    -45.373842    -45.373842
   0.54306    -45.373843    -45.373843
   0.51060    -45.373843    -45.373842
   0.47813    -45.373844    -45.373844
   0.44567    -45.373845    -45.373845
   0.41320    -45.373845    -45.373845
   0.41320    -45.373845    -45.373845
   0.39025    -45.373846    -45.373845
   0.36729    -45.373844    -45.373844
   0.34434    -45.373843    -45.373844
   0.32138    -45.373840    -45.373844
   0.29842    -45.373843    -45.373845
   0.27547    -45.373846    -45.373846
   0.25251    -45.373846    -45.373847
   0.22956    -45.373845    -45.373846
   0.20660    -45.373845    -45.373846
   0.20660    -45.373845    -45.373846
   0.18365    -45.373845    -45.373845
   0.16069    -45.373844    -45.373844
   0.13773    -45.373844    -45.373843
   0.11478    -45.373844    -45.373842
   0.09182    -45.373844    -45.373844
   0.06887    -45.373844    -45.373843
   0.04591    -45.373845    -45.373845
   0.02296    -45.373845    -45.373845
   0.00000    -45.373843    -45.373843
 
# Band-Index    3
   0.00000    -45.166937    -45.166937
   0.02296    -45.166938    -45.166938
   0.04591    -45.166938    -45.166938
   0.06887    -45.166938    -45.166938
   0.09182    -45.166936    -45.166937
   0.11478    -45.166937    -45.166937
   0.13773    -45.166937    -45.166938
   0.16069    -45.166937    -45.166937
   0.18365    -45.166938    -45.166938
   0.20660    -45.166937    -45.166937
   0.20660    -45.166937    -45.166937
   0.22956    -45.166938    -45.166939
   0.25251    -45.166938    -45.166938
   0.27547    -45.166938    -45.166938
   0.29842    -45.166937    -45.166937
   0.32138    -45.166937    -45.166937
   0.34434    -45.166938    -45.166937
   0.36729    -45.166937    -45.166937
   0.39025    -45.166937    -45.166937
   0.41320    -45.166937    -45.166937
   0.41320    -45.166937    -45.166937
   0.44567    -45.166937    -45.166937
   0.47813    -45.166937    -45.166937
   0.51060    -45.166937    -45.166937
   0.54306    -45.166937    -45.166937
   0.57552    -45.166936    -45.166936
   0.60799    -45.166937    -45.166937
   0.64045    -45.166938    -45.166938
   0.67292    -45.166938    -45.166937
   0.70538    -45.166937    -45.166937
   0.70538    -45.166937    -45.166937
   0.73785    -45.166937    -45.166938
   0.77031    -45.166938    -45.166938
   0.80277    -45.166937    -45.166937
   0.83524    -45.166936    -45.166936
   0.86770    -45.166937    -45.166937
   0.90017    -45.166937    -45.166937
   0.93263    -45.166937    -45.166937
   0.96510    -45.166937    -45.166937
   0.99756    -45.166937    -45.166937
   0.99756    -45.166937    -45.166937
   1.02051    -45.166937    -45.166937
   1.04347    -45.166937    -45.166937
   1.06643    -45.166937    -45.166938
   1.08938    -45.166937    -45.166937
   1.11234    -45.166937    -45.166937
   1.13529    -45.166938    -45.166938
   1.15825    -45.166938    -45.166938
   1.18120    -45.166939    -45.166938
   1.20416    -45.166937    -45.166937
   1.20416    -45.166937    -45.166937
   1.22712    -45.166938    -45.166938
   1.25007    -45.166937    -45.166937
   1.27303    -45.166938    -45.166937
   1.29598    -45.166937    -45.166937
   1.31894    -45.166937    -45.166936
   1.34189    -45.166938    -45.166938
   1.36485    -45.166938    -45.166938
   1.38781    -45.166938    -45.166938
   1.41076    -45.166937    -45.166937
 
# Band-Index    4
   1.41076    -43.986926    -43.986926
   1.38781    -43.986929    -43.986928
   1.36485    -43.986929    -43.986928
   1.34189    -43.986925    -43.986927
   1.31894    -43.986926    -43.986927
   1.29598    -43.986924    -43.986927
   1.27303    -43.986926    -43.986927
   1.25007    -43.986927    -43.986926
   1.22712    -43.986928    -43.986928
   1.20416    -43.986929    -43.986928
   1.20416    -43.986929    -43.986928
   1.18120    -43.986930    -43.986928
   1.15825    -43.986931    -43.986929
   1.13529    -43.986929    -43.986929
   1.11234    -43.986928    -43.986925
   1.08938    -43.986926    -43.986921
   1.06643    -43.986927    -43.986925
   1.04347    -43.986927    -43.986927
   1.02051    -43.986928    -43.986930
   0.99756    -43.986928    -43.986928
   0.99756    -43.986928    -43.986928
   0.96510    -43.986928    -43.986929
   0.93263    -43.986927    -43.986927
   0.90017    -43.986924    -43.986926
   0.86770    -43.986925    -43.986925
   0.83524    -43.986924    -43.986924
   0.80277    -43.986927    -43.986928
   0.77031    -43.986927    -43.986928
   0.73785    -43.986928    -43.986928
   0.70538    -43.986926    -43.986926
   0.70538    -43.986926    -43.986926
   0.67292    -43.986928    -43.986928
   0.64045    -43.986928    -43.986927
   0.60799    -43.986928    -43.986927
   0.57552    -43.986924    -43.986924
   0.54306    -43.986925    -43.986925
   0.51060    -43.986926    -43.986924
   0.47813    -43.986927    -43.986927
   0.44567    -43.986929    -43.986928
   0.41320    -43.986928    -43.986928
   0.41320    -43.986928    -43.986928
   0.39025    -43.986930    -43.986928
   0.36729    -43.986927    -43.986927
   0.34434    -43.986925    -43.986927
   0.32138    -43.986921    -43.986926
   0.29842    -43.986925    -43.986928
   0.27547    -43.986929    -43.986929
   0.25251    -43.986929    -43.986931
   0.22956    -43.986928    -43.986930
   0.20660    -43.986928    -43.986929
   0.20660    -43.986928    -43.986929
   0.18365    -43.986928    -43.986928
   0.16069    -43.986926    -43.986927
   0.13773    -43.986927    -43.986926
   0.11478    -43.986927    -43.986924
   0.09182    -43.986927    -43.986926
   0.06887    -43.986927    -43.986925
   0.04591    -43.986928    -43.986929
   0.02296    -43.986928    -43.986929
   0.00000    -43.986926    -43.986926
 
# Band-Index    5
   0.00000    -43.329515    -43.329515
   0.02296    -43.329518    -43.329517
   0.04591    -43.329517    -43.329517
   0.06887    -43.329515    -43.329517
   0.09182    -43.329516    -43.329517
   0.11478    -43.329514    -43.329517
   0.13773    -43.329516    -43.329517
   0.16069    -43.329517    -43.329516
   0.18365    -43.329519    -43.329517
   0.20660    -43.329519    -43.329517
   0.20660    -43.329519    -43.329517
   0.22956    -43.329520    -43.329517
   0.25251    -43.329521    -43.329518
   0.27547    -43.329519    -43.329518
   0.29842    -43.329517    -43.329515
   0.32138    -43.329516    -43.329512
   0.34434    -43.329517    -43.329515
   0.36729    -43.329516    -43.329517
   0.39025    -43.329517    -43.329519
   0.41320    -43.329518    -43.329518
   0.41320    -43.329518    -43.329518
   0.44567    -43.329518    -43.329518
   0.47813    -43.329517    -43.329517
   0.51060    -43.329514    -43.329516
   0.54306    -43.329515    -43.329516
   0.57552    -43.329514    -43.329514
   0.60799    -43.329517    -43.329517
   0.64045    -43.329516    -43.329517
   0.67292    -43.329518    -43.329518
   0.70538    -43.329515    -43.329515
   0.70538    -43.329515    -43.329515
   0.73785    -43.329518    -43.329518
   0.77031    -43.329517    -43.329516
   0.80277    -43.329517    -43.329517
   0.83524    -43.329514    -43.329514
   0.86770    -43.329516    -43.329515
   0.90017    -43.329516    -43.329514
   0.93263    -43.329517    -43.329517
   0.96510    -43.329518    -43.329518
   0.99756    -43.329518    -43.329518
   0.99756    -43.329518    -43.329518
   1.02051    -43.329519    -43.329517
   1.04347    -43.329517    -43.329516
   1.06643    -43.329515    -43.329517
   1.08938    -43.329512    -43.329516
   1.11234    -43.329515    -43.329517
   1.13529    -43.329518    -43.329519
   1.15825    -43.329518    -43.329521
   1.18120    -43.329517    -43.329520
   1.20416    -43.329517    -43.329519
   1.20416    -43.329517    -43.329519
   1.22712    -43.329517    -43.329519
   1.25007    -43.329516    -43.329517
   1.27303    -43.329517    -43.329516
   1.29598    -43.329517    -43.329514
   1.31894    -43.329517    -43.329516
   1.34189    -43.329517    -43.329515
   1.36485    -43.329517    -43.329517
   1.38781    -43.329517    -43.329518
   1.41076    -43.329515    -43.329515
 
# Band-Index    6
   1.41076    -42.315718    -42.315718
   1.38781    -42.315720    -42.315720
   1.36485    -42.315719    -42.315719
   1.34189    -42.315719    -42.315719
   1.31894    -42.315718    -42.315718
   1.29598    -42.315718    -42.315718
   1.27303    -42.315719    -42.315719
   1.25007    -42.315719    -42.315718
   1.22712    -42.315720    -42.315719
   1.20416    -42.315719    -42.315718
   1.20416    -42.315719    -42.315718
   1.18120    -42.315721    -42.315720
   1.15825    -42.315720    -42.315719
   1.13529    -42.315720    -42.315719
   1.11234    -42.315719    -42.315718
   1.08938    -42.315719    -42.315719
   1.06643    -42.315719    -42.315719
   1.04347    -42.315718    -42.315718
   1.02051    -42.315719    -42.315719
   0.99756    -42.315719    -42.315719
   0.99756    -42.315719    -42.315719
   0.96510    -42.315718    -42.315718
   0.93263    -42.315718    -42.315718
   0.90017    -42.315719    -42.315719
   0.86770    -42.315718    -42.315718
   0.83524    -42.315717    -42.315717
   0.80277    -42.315718    -42.315718
   0.77031    -42.315719    -42.315719
   0.73785    -42.315719    -42.315719
   0.70538    -42.315718    -42.315718
   0.70538    -42.315718    -42.315718
   0.67292    -42.315719    -42.315719
   0.64045    -42.315719    -42.315719
   0.60799    -42.315718    -42.315718
   0.57552    -42.315717    -42.315717
   0.54306    -42.315718    -42.315718
   0.51060    -42.315719    -42.315719
   0.47813    -42.315718    -42.315718
   0.44567    -42.315718    -42.315718
   0.41320    -42.315719    -42.315719
   0.41320    -42.315719    -42.315719
   0.39025    -42.315719    -42.315719
   0.36729    -42.315718    -42.315718
   0.34434    -42.315719    -42.315719
   0.32138    -42.315719    -42.315719
   0.29842    -42.315718    -42.315719
   0.27547    -42.315719    -42.315720
   0.25251    -42.315719    -42.315720
   0.22956    -42.315720    -42.315721
   0.20660    -42.315718    -42.315719
   0.20660    -42.315718    -42.315719
   0.18365    -42.315719    -42.315720
   0.16069    -42.315718    -42.315719
   0.13773    -42.315719    -42.315719
   0.11478    -42.315718    -42.315718
   0.09182    -42.315718    -42.315718
   0.06887    -42.315719    -42.315719
   0.04591    -42.315719    -42.315719
   0.02296    -42.315720    -42.315720
   0.00000    -42.315718    -42.315718
 
# Band-Index    7
   0.00000    -20.390893    -20.390893
   0.02296    -20.390893    -20.390893
   0.04591    -20.390886    -20.390886
   0.06887    -20.390869    -20.390869
   0.09182    -20.390850    -20.390850
   0.11478    -20.390832    -20.390831
   0.13773    -20.390806    -20.390806
   0.16069    -20.390790    -20.390790
   0.18365    -20.390787    -20.390787
   0.20660    -20.390785    -20.390785
   0.20660    -20.390785    -20.390785
   0.22956    -20.390788    -20.390787
   0.25251    -20.390794    -20.390793
   0.27547    -20.390789    -20.390789
   0.29842    -20.390780    -20.390780
   0.32138    -20.390781    -20.390781
   0.34434    -20.390783    -20.390783
   0.36729    -20.390778    -20.390778
   0.39025    -20.390779    -20.390779
   0.41320    -20.390779    -20.390779
   0.41320    -20.390779    -20.390779
   0.44567    -20.390779    -20.390780
   0.47813    -20.390777    -20.390779
   0.51060    -20.390783    -20.390785
   0.54306    -20.390798    -20.390801
   0.57552    -20.390807    -20.390810
   0.60799    -20.390848    -20.390851
   0.64045    -20.390870    -20.390871
   0.67292    -20.390890    -20.390890
   0.70538    -20.390893    -20.390893
   0.70538    -20.390893    -20.390893
   0.73785    -20.390890    -20.390890
   0.77031    -20.390871    -20.390870
   0.80277    -20.390851    -20.390848
   0.83524    -20.390810    -20.390807
   0.86770    -20.390801    -20.390798
   0.90017    -20.390785    -20.390783
   0.93263    -20.390779    -20.390777
   0.96510    -20.390780    -20.390779
   0.99756    -20.390779    -20.390779
   0.99756    -20.390779    -20.390779
   1.02051    -20.390779    -20.390779
   1.04347    -20.390778    -20.390778
   1.06643    -20.390783    -20.390783
   1.08938    -20.390781    -20.390781
   1.11234    -20.390780    -20.390780
   1.13529    -20.390789    -20.390789
   1.15825    -20.390793    -20.390794
   1.18120    -20.390787    -20.390788
   1.20416    -20.390785    -20.390785
   1.20416    -20.390785    -20.390785
   1.22712    -20.390787    -20.390787
   1.25007    -20.390790    -20.390790
   1.27303    -20.390806    -20.390806
   1.29598    -20.390831    -20.390832
   1.31894    -20.390850    -20.390850
   1.34189    -20.390869    -20.390869
   1.36485    -20.390886    -20.390886
   1.38781    -20.390893    -20.390893
   1.41076    -20.390893    -20.390893
 
# Band-Index    8
   1.41076    -20.367136    -20.367136
   1.38781    -20.367144    -20.367144
   1.36485    -20.367158    -20.367158
   1.34189    -20.367175    -20.367175
   1.31894    -20.367199    -20.367199
   1.29598    -20.367229    -20.367228
   1.27303    -20.367248    -20.367248
   1.25007    -20.367267    -20.367266
   1.22712    -20.367288    -20.367287
   1.20416    -20.367294    -20.367293
   1.20416    -20.367294    -20.367293
   1.18120    -20.367296    -20.367296
   1.15825    -20.367302    -20.367302
