#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 120 168
# Band-Index    1
   0.00000    -45.020261    -45.020261
   0.01044    -45.020260    -45.020260
   0.02089    -45.020261    -45.020260
   0.03133    -45.020260    -45.020260
   0.04178    -45.020261    -45.020260
   0.05222    -45.020260    -45.020260
   0.06267    -45.020261    -45.020261
   0.07311    -45.020261    -45.020261
   0.08356    -45.020263    -45.020262
   0.09400    -45.020261    -45.020261
   0.10445    -45.020262    -45.020261
   0.11489    -45.020263    -45.020262
   0.12534    -45.020262    -45.020261
   0.13578    -45.020262    -45.020261
   0.14623    -45.020263    -45.020262
   0.15667    -45.020263    -45.020262
   0.16711    -45.020262    -45.020262
   0.17756    -45.020261    -45.020260
   0.18800    -45.020261    -45.020260
   0.19845    -45.020261    -45.020260
   0.19845    -45.020261    -45.020260
   0.20889    -45.020262    -45.020261
   0.21934    -45.020263    -45.020261
   0.22978    -45.020262    -45.020261
   0.24023    -45.020263    -45.020263
   0.25067    -45.020263    -45.020262
   0.26112    -45.020263    -45.020262
   0.27156    -45.020262    -45.020262
   0.28201    -45.020262    -45.020261
   0.29245    -45.020260    -45.020260
   0.30289    -45.020259    -45.020259
   0.31334    -45.020259    -45.020260
   0.32378    -45.020259    -45.020259
   0.33423    -45.020260    -45.020260
   0.34467    -45.020260    -45.020261
   0.35512    -45.020260    -45.020261
   0.36556    -45.020261    -45.020261
   0.37601    -45.020259    -45.020259
   0.38645    -45.020259    -45.020259
   0.39690    -45.020258    -45.020258
   0.39690    -45.020258    -45.020258
   0.41167    -45.020259    -45.020260
   0.42644    -45.020260    -45.020262
   0.44121    -45.020260    -45.020260
   0.45598    -45.020259    -45.020258
   0.47075    -45.020259    -45.020259
   0.48552    -45.020259    -45.020260
   0.50029    -45.020260    -45.020261
   0.51506    -45.020260    -45.020262
   0.52984    -45.020261    -45.020263
   0.54461    -45.020261    -45.020262
   0.55938    -45.020261    -45.020262
   0.57415    -45.020260    -45.020262
   0.58892    -45.020259    -45.020262
   0.60369    -45.020260    -45.020262
   0.61846    -45.020260    -45.020260
   0.63323    -45.020260    -45.020260
   0.64800    -45.020260    -45.020260
   0.66277    -45.020261    -45.020262
   0.67755    -45.020261    -45.020261
   0.67755    -45.020261    -45.020261
   0.69232    -45.020262    -45.020261
   0.70709    -45.020260    -45.020260
   0.72186    -45.020260    -45.020260
   0.73663    -45.020260    -45.020260
   0.75140    -45.020262    -45.020260
   0.76617    -45.020262    -45.020259
   0.78094    -45.020262    -45.020260
   0.79571    -45.020262    -45.020261
   0.81048    -45.020262    -45.020261
   0.82526    -45.020263    -45.020261
   0.84003    -45.020262    -45.020260
   0.85480    -45.020261    -45.020260
   0.86957    -45.020260    -45.020259
   0.88434    -45.020259    -45.020259
   0.89911    -45.020258    -45.020259
   0.91388    -45.020260    -45.020260
   0.92865    -45.020262    -45.020260
   0.94342    -45.020260    -45.020259
   0.95819    -45.020258    -45.020258
   0.95819    -45.020258    -45.020258
   0.96864    -45.020259    -45.020259
   0.97908    -45.020259    -45.020259
   0.98953    -45.020261    -45.020261
   0.99997    -45.020261    -45.020260
   1.01042    -45.020261    -45.020260
   1.02086    -45.020260    -45.020260
   1.03131    -45.020259    -45.020259
   1.04175    -45.020260    -45.020259
   1.05220    -45.020259    -45.020259
   1.06264    -45.020260    -45.020260
   1.07308    -45.020261    -45.020262
   1.08353    -45.020262    -45.020262
   1.09397    -45.020262    -45.020263
   1.10442    -45.020262    -45.020263
   1.11486    -45.020263    -45.020263
   1.12531    -45.020261    -45.020262
   1.13575    -45.020261    -45.020263
   1.14620    -45.020261    -45.020262
   1.15664    -45.020260    -45.020261
   1.15664    -45.020260    -45.020261
   1.16709    -45.020260    -45.020261
   1.17753    -45.020260    -45.020261
   1.18798    -45.020262    -45.020262
   1.19842    -45.020262    -45.020263
   1.20887    -45.020262    -45.020263
   1.21931    -45.020261    -45.020262
   1.22975    -45.020261    -45.020262
   1.24020    -45.020262    -45.020263
   1.25064    -45.020261    -45.020262
   1.26109    -45.020261    -45.020261
   1.27153    -45.020262    -45.020263
   1.28198    -45.020261    -45.020261
   1.29242    -45.020261    -45.020261
   1.30287    -45.020260    -45.020260
   1.31331    -45.020260    -45.020261
   1.32376    -45.020260    -45.020260
   1.33420    -45.020260    -45.020261
   1.34465    -45.020260    -45.020260
   1.35509    -45.020261    -45.020261
 
# Band-Index    2
   1.35509    -44.720569    -44.720569
   1.34465    -44.720569    -44.720569
   1.33420    -44.720569    -44.720569
   1.32376    -44.720568    -44.720568
   1.31331    -44.720569    -44.720569
   1.30287    -44.720568    -44.720568
   1.29242    -44.720569    -44.720569
   1.28198    -44.720569    -44.720569
