#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  60 224
# Band-Index    1
   0.00000    -45.173409    -45.173409
   0.02056    -45.173409    -45.173409
   0.04111    -45.173409    -45.173409
   0.06167    -45.173410    -45.173407
   0.08223    -45.173413    -45.173408
   0.10278    -45.173414    -45.173409
   0.12334    -45.173414    -45.173408
   0.14389    -45.173413    -45.173408
   0.16445    -45.173412    -45.173408
   0.18501    -45.173412    -45.173408
   0.18501    -45.173412    -45.173408
   0.20556    -45.173413    -45.173410
   0.22612    -45.173413    -45.173411
   0.24668    -45.173411    -45.173410
   0.26723    -45.173412    -45.173410
   0.28779    -45.173413    -45.173413
   0.30835    -45.173412    -45.173412
   0.32890    -45.173416    -45.173415
   0.34946    -45.173415    -45.173415
   0.37001    -45.173415    -45.173415
   0.37001    -45.173415    -45.173415
   0.39909    -45.173415    -45.173415
   0.42816    -45.173414    -45.173413
   0.45723    -45.173414    -45.173414
   0.48630    -45.173413    -45.173413
   0.51537    -45.173414    -45.173414
   0.54444    -45.173411    -45.173411
   0.57351    -45.173410    -45.173409
   0.60258    -45.173408    -45.173408
   0.63165    -45.173409    -45.173409
   0.63165    -45.173409    -45.173409
   0.66073    -45.173408    -45.173408
   0.68980    -45.173409    -45.173410
   0.71887    -45.173411    -45.173411
   0.74794    -45.173414    -45.173414
   0.77701    -45.173413    -45.173413
   0.80608    -45.173414    -45.173414
   0.83515    -45.173413    -45.173414
   0.86422    -45.173415    -45.173415
   0.89329    -45.173415    -45.173415
   0.89329    -45.173415    -45.173415
   0.91385    -45.173415    -45.173415
   0.93441    -45.173415    -45.173416
   0.95496    -45.173412    -45.173412
   0.97552    -45.173413    -45.173413
   0.99608    -45.173410    -45.173412
   1.01663    -45.173410    -45.173411
   1.03719    -45.173411    -45.173413
   1.05774    -45.173410    -45.173413
   1.07830    -45.173408    -45.173412
   1.07830    -45.173408    -45.173412
   1.09886    -45.173408    -45.173412
   1.11941    -45.173408    -45.173413
   1.13997    -45.173408    -45.173414
