#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  90 160
# Band-Index    1
   0.00000    -43.878763    -43.878763
   0.01426    -43.878761    -43.878762
   0.02852    -43.878761    -43.878761
   0.04279    -43.878762    -43.878762
   0.05705    -43.878762    -43.878762
   0.07131    -43.878762    -43.878762
   0.08557    -43.878763    -43.878763
   0.09983    -43.878762    -43.878763
   0.11409    -43.878762    -43.878762
   0.12836    -43.878761    -43.878762
   0.14262    -43.878761    -43.878761
   0.15688    -43.878761    -43.878762
   0.17114    -43.878760    -43.878760
   0.18540    -43.878760    -43.878760
   0.19967    -43.878759    -43.878759
   0.19967    -43.878759    -43.878759
   0.21393    -43.878761    -43.878761
   0.22819    -43.878761    -43.878761
   0.24245    -43.878760    -43.878760
   0.25671    -43.878760    -43.878760
   0.27098    -43.878761    -43.878761
   0.28524    -43.878761    -43.878761
   0.29950    -43.878762    -43.878761
   0.31376    -43.878762    -43.878762
   0.32802    -43.878763    -43.878763
   0.34228    -43.878763    -43.878763
   0.35655    -43.878763    -43.878763
   0.37081    -43.878763    -43.878763
   0.38507    -43.878764    -43.878764
   0.39933    -43.878764    -43.878764
   0.39933    -43.878764    -43.878764
   0.41950    -43.878763    -43.878765
   0.43967    -43.878764    -43.878765
   0.45984    -43.878763    -43.878764
   0.48001    -43.878762    -43.878764
   0.50018    -43.878760    -43.878763
   0.52035    -43.878760    -43.878763
   0.54052    -43.878760    -43.878762
   0.56069    -43.878758    -43.878763
   0.58086    -43.878761    -43.878762
   0.60103    -43.878761    -43.878761
   0.62120    -43.878763    -43.878761
   0.64136    -43.878762    -43.878761
   0.66153    -43.878761    -43.878762
   0.68170    -43.878763    -43.878763
   0.68170    -43.878763    -43.878763
   0.70187    -43.878762    -43.878761
   0.72204    -43.878761    -43.878762
   0.74221    -43.878761    -43.878763
   0.76238    -43.878761    -43.878761
   0.78255    -43.878762    -43.878761
   0.80272    -43.878763    -43.878758
   0.82289    -43.878762    -43.878760
   0.84306    -43.878763    -43.878760
   0.86323    -43.878763    -43.878760
   0.88340    -43.878764    -43.878762
   0.90357    -43.878764    -43.878763
   0.92374    -43.878765    -43.878764
   0.94390    -43.878765    -43.878763
   0.96407    -43.878764    -43.878764
   0.96407    -43.878764    -43.878764
   0.97834    -43.878764    -43.878764
   0.99260    -43.878763    -43.878763
   1.00686    -43.878763    -43.878763
   1.02112    -43.878763    -43.878763
   1.03538    -43.878763    -43.878763
   1.04965    -43.878762    -43.878762
   1.06391    -43.878761    -43.878762
   1.07817    -43.878761    -43.878761
   1.09243    -43.878761    -43.878761
   1.10669    -43.878760    -43.878760
   1.12095    -43.878760    -43.878760
   1.13522    -43.878761    -43.878761
   1.14948    -43.878761    -43.878761
   1.16374    -43.878759    -43.878759
   1.16374    -43.878759    -43.878759
   1.17800    -43.878760    -43.878760
   1.19226    -43.878760    -43.878760
   1.20653    -43.878762    -43.878761
   1.22079    -43.878761    -43.878761
   1.23505    -43.878762    -43.878761
   1.24931    -43.878762    -43.878762
   1.26357    -43.878763    -43.878762
   1.27784    -43.878763    -43.878763
   1.29210    -43.878762    -43.878762
   1.30636    -43.878762    -43.878762
   1.32062    -43.878762    -43.878762
   1.33488    -43.878761    -43.878761
   1.34914    -43.878762    -43.878761
   1.36341    -43.878763    -43.878763
 
# Band-Index    2
   1.36341    -43.875568    -43.875568
   1.34914    -43.875566    -43.875566
   1.33488    -43.875566    -43.875566
   1.32062    -43.875567    -43.875567
   1.30636    -43.875566    -43.875566
   1.29210    -43.875567    -43.875567
   1.27784    -43.875567    -43.875568
   1.26357    -43.875567    -43.875567
   1.24931    -43.875567    -43.875567
   1.23505    -43.875566    -43.875566
   1.22079    -43.875566    -43.875566
   1.20653    -43.875566    -43.875566
   1.19226    -43.875565    -43.875565
   1.17800    -43.875565    -43.875564
   1.16374    -43.875564    -43.875563
   1.16374    -43.875564    -43.875563
   1.14948    -43.875565    -43.875565
   1.13522    -43.875565    -43.875565
   1.12095    -43.875565    -43.875565
   1.10669    -43.875565    -43.875565
   1.09243    -43.875566    -43.875566
   1.07817    -43.875566    -43.875566
   1.06391    -43.875567    -43.875566
   1.04965    -43.875567    -43.875567
   1.03538    -43.875567    -43.875567
   1.02112    -43.875568    -43.875568
   1.00686    -43.875568    -43.875568
   0.99260    -43.875568    -43.875568
   0.97834    -43.875569    -43.875569
   0.96407    -43.875569    -43.875569
   0.96407    -43.875569    -43.875569
   0.94390    -43.875568    -43.875570
   0.92374    -43.875568    -43.875569
   0.90357    -43.875568    -43.875569
   0.88340    -43.875567    -43.875568
   0.86323    -43.875565    -43.875568
   0.84306    -43.875565    -43.875568
   0.82289    -43.875564    -43.875567
   0.80272    -43.875563    -43.875567
   0.78255    -43.875566    -43.875567
   0.76238    -43.875566    -43.875566
   0.74221    -43.875567    -43.875566
   0.72204    -43.875567    -43.875566
   0.70187    -43.875565    -43.875566
   0.68170    -43.875568    -43.875568
   0.68170    -43.875568    -43.875568
   0.66153    -43.875566    -43.875565
   0.64136    -43.875566    -43.875567
   0.62120    -43.875566    -43.875567
   0.60103    -43.875566    -43.875566
   0.58086    -43.875567    -43.875566
   0.56069    -43.875567    -43.875563
   0.54052    -43.875567    -43.875564
   0.52035    -43.875568    -43.875565
   0.50018    -43.875568    -43.875565
   0.48001    -43.875568    -43.875567
   0.45984    -43.875569    -43.875568
   0.43967    -43.875569    -43.875568
   0.41950    -43.875570    -43.875568
   0.39933    -43.875569    -43.875569
   0.39933    -43.875569    -43.875569
   0.38507    -43.875569    -43.875569
   0.37081    -43.875568    -43.875568
   0.35655    -43.875568    -43.875568
   0.34228    -43.875568    -43.875568
   0.32802    -43.875567    -43.875567
   0.31376    -43.875567    -43.875567
   0.29950    -43.875566    -43.875567
   0.28524    -43.875566    -43.875566
   0.27098    -43.875566    -43.875566
   0.25671    -43.875565    -43.875565
   0.24245    -43.875565    -43.875565
   0.22819    -43.875565    -43.875565
   0.21393    -43.875565    -43.875565
   0.19967    -43.875563    -43.875564
   0.19967    -43.875563    -43.875564
   0.18540    -43.875564    -43.875565
   0.17114    -43.875565    -43.875565
   0.15688    -43.875566    -43.875566
   0.14262    -43.875566    -43.875566
   0.12836    -43.875566    -43.875566
   0.11409    -43.875567    -43.875567
   0.09983    -43.875567    -43.875567
   0.08557    -43.875568    -43.875567
   0.07131    -43.875567    -43.875567
   0.05705    -43.875566    -43.875566
   0.04279    -43.875567    -43.875567
   0.02852    -43.875566    -43.875566
   0.01426    -43.875566    -43.875566
   0.00000    -43.875568    -43.875568
 
# Band-Index    3
   0.00000    -43.646476    -43.646476
   0.01426    -43.646475    -43.646475
   0.02852    -43.646474    -43.646474
   0.04279    -43.646475    -43.646475
   0.05705    -43.646475    -43.646475
   0.07131    -43.646475    -43.646475
   0.08557    -43.646476    -43.646476
   0.09983    -43.646476    -43.646476
   0.11409    -43.646475    -43.646475
   0.12836    -43.646474    -43.646474
   0.14262    -43.646474    -43.646474
   0.15688    -43.646474    -43.646474
   0.17114    -43.646473    -43.646473
   0.18540    -43.646472    -43.646472
   0.19967    -43.646472    -43.646472
   0.19967    -43.646472    -43.646472
   0.21393    -43.646473    -43.646473
   0.22819    -43.646473    -43.646473
   0.24245    -43.646474    -43.646474
   0.25671    -43.646474    -43.646474
   0.27098    -43.646473    -43.646473
   0.28524    -43.646473    -43.646473
   0.29950    -43.646474    -43.646474
   0.31376    -43.646475    -43.646475
   0.32802    -43.646475    -43.646475
   0.34228    -43.646475    -43.646475
   0.35655    -43.646476    -43.646476
   0.37081    -43.646476    -43.646476
   0.38507    -43.646476    -43.646476
   0.39933    -43.646477    -43.646477
   0.39933    -43.646477    -43.646477
   0.41950    -43.646476    -43.646476
   0.43967    -43.646476    -43.646476
   0.45984    -43.646475    -43.646475
   0.48001    -43.646475    -43.646475
   0.50018    -43.646474    -43.646474
   0.52035    -43.646474    -43.646474
   0.54052    -43.646474    -43.646474
   0.56069    -43.646474    -43.646474
   0.58086    -43.646475    -43.646475
   0.60103    -43.646475    -43.646475
   0.62120    -43.646475    -43.646475
   0.64136    -43.646475    -43.646475
   0.66153    -43.646475    -43.646475
   0.68170    -43.646476    -43.646476
   0.68170    -43.646476    -43.646476
   0.70187    -43.646475    -43.646475
   0.72204    -43.646475    -43.646475
   0.74221    -43.646475    -43.646475
   0.76238    -43.646475    -43.646475
   0.78255    -43.646475    -43.646475
   0.80272    -43.646474    -43.646474
   0.82289    -43.646474    -43.646474
   0.84306    -43.646474    -43.646474
   0.86323    -43.646474    -43.646474
   0.88340    -43.646475    -43.646475
   0.90357    -43.646475    -43.646475
   0.92374    -43.646476    -43.646476
   0.94390    -43.646476    -43.646476
   0.96407    -43.646477    -43.646477
   0.96407    -43.646477    -43.646477
   0.97834    -43.646476    -43.646476
   0.99260    -43.646476    -43.646476
   1.00686    -43.646476    -43.646476
   1.02112    -43.646475    -43.646475
   1.03538    -43.646475    -43.646475
   1.04965    -43.646475    -43.646475
   1.06391    -43.646474    -43.646474
   1.07817    -43.646473    -43.646473
   1.09243    -43.646473    -43.646473
   1.10669    -43.646474    -43.646474
   1.12095    -43.646474    -43.646474
   1.13522    -43.646473    -43.646473
   1.14948    -43.646473    -43.646473
   1.16374    -43.646472    -43.646472
   1.16374    -43.646472    -43.646472
