model,feature_set,random_seed,test_size,feature_dimension,r2,mae,rmse,mape,test_pred_1,test_pred_2,test_pred_3,test_in_range,r2_above_07,conditions_met
RandomForest,descriptors,400,0.3,217,0.660448742,4.757255,6.128231666,1.230398431,14.31187,16.06492,19.406,TRUE,FALSE,FALSE
XGBoost,all,300,0.2,1408,0.654289449,4.611861655,7.30916994,1.37637E+15,2.756587029,6.000494957,6.32313633,FALSE,FALSE,FALSE
RandomForest,descriptors,275,0.3,217,0.651256687,3.946486667,6.247744887,8.57763E+14,12.92845,12.63848,14.26669,TRUE,FALSE,FALSE
XGBoost,all,350,0.2,1408,0.641386082,5.290117295,7.708238715,1.42968E+15,1.383041024,8.559418678,8.490511894,FALSE,FALSE,FALSE
CatBoost,descriptors,350,0.2,217,0.637866963,6.10999141,7.745967288,4.39052E+15,10.29604511,10.7905261,12.14213843,TRUE,FALSE,FALSE
XGBoost,all,325,0.3,1408,0.636494457,1.447919075,1.792831902,2.90564E+15,1.50605762,5.49685955,8.380028725,FALSE,FALSE,FALSE
RandomForest,rdkit,275,0.3,512,0.613756086,5.61587,6.575081918,3.92139E+15,13.8975,14.60783,10.55648,TRUE,FALSE,FALSE
XGBoost,maccs,325,0.2,167,0.609234148,1.878035162,2.125099119,2.09061E+15,2.403240919,1.265517831,2.448587894,FALSE,FALSE,FALSE
CatBoost,descriptors,400,0.3,217,0.593321035,4.89285181,6.706691921,1.080907881,9.115954904,11.88686515,14.27022833,FALSE,FALSE,FALSE
CatBoost,descriptors,300,0.3,217,0.580278643,5.481087846,6.914847198,2.28811E+15,9.55119156,9.368999155,14.42741872,FALSE,FALSE,FALSE
RandomForest,rdkit,275,0.2,512,0.576399022,6.688685,7.491100368,6.98125E+15,15.37761,16.54021,12.33867,TRUE,FALSE,FALSE
XGBoost,morgan,300,0.2,512,0.570333986,5.922182502,8.148492009,2.04381E+15,7.303683758,1.927615404,2.120227337,FALSE,FALSE,FALSE
CatBoost,all,400,0.3,1408,0.560326566,4.981705866,6.973448776,0.998483624,7.268248612,9.326648101,10.29394318,FALSE,FALSE,FALSE
CatBoost,morgan,350,0.2,512,0.538719925,6.199814368,8.742264314,8.49483E+15,5.430381131,6.285954066,5.905597873,FALSE,FALSE,FALSE
CatBoost,descriptors,275,0.2,217,0.536509119,5.986514729,7.835879267,1.76123E+15,8.95735325,10.87007092,16.9488569,FALSE,FALSE,FALSE
RandomForest,descriptors,350,0.2,217,0.530689271,7.16993,8.818035165,7.59836E+15,12.24518,14.54645,15.02747,TRUE,FALSE,FALSE
RandomForest,all,275,0.3,1408,0.529919716,4.517051667,7.253646083,2.09844E+15,10.6962,12.86494,14.73319,TRUE,FALSE,FALSE
XGBoost,morgan,300,0.3,512,0.528921458,5.23897134,7.325693003,1.42502E+15,7.372408867,1.897626758,2.065928936,FALSE,FALSE,FALSE
CatBoost,all,300,0.3,1408,0.52761603,5.375379429,7.335836265,2.78361E+15,7.799675375,10.76875639,10.25514765,FALSE,FALSE,FALSE
