model,feature_set,random_seed,test_size,feature_dimension,r2,mae,rmse,mape,test_pred_1,test_pred_2,test_pred_3,test_in_range,r2_above_07,conditions_met
KNN,morgan,350,0.3,512,-0.054397267,13.08463333,16.17777635,6.46011E+15,8.6066,8.6066,8.6066,FALSE,FALSE,FALSE
XGBoost,morgan,325,0.3,512,-0.061656003,1.724791371,3.063909706,1.06288E+15,7.377150536,1.208832145,1.208832145,FALSE,FALSE,FALSE
CatBoost,all,325,0.2,1408,-0.069175574,3.195988821,3.515162474,3.63091E+15,9.65817567,10.22498072,10.85370097,FALSE,FALSE,FALSE
KNN,morgan,400,0.2,512,-0.070252578,9.5397,11.43324128,2.132199915,12.6862,11.8264,11.8264,TRUE,FALSE,FALSE
LightGBM,morgan,300,0.3,512,-0.078180325,7.655166667,11.08275556,4.02407E+15,5.361142895,5.361142895,5.361142895,FALSE,FALSE,FALSE
LightGBM,maccs,300,0.3,167,-0.078180325,7.655166667,11.08275556,4.02407E+15,5.361142895,5.361142895,5.361142895,FALSE,FALSE,FALSE
LightGBM,rdkit,300,0.3,512,-0.078180325,7.655166667,11.08275556,4.02407E+15,5.361142895,5.361142895,5.361142895,FALSE,FALSE,FALSE
LightGBM,descriptors,300,0.3,217,-0.078180325,7.655166667,11.08275556,4.02407E+15,5.361142895,5.361142895,5.361142895,FALSE,FALSE,FALSE
LightGBM,all,300,0.3,1408,-0.078180325,7.655166667,11.08275556,4.02407E+15,5.361142895,5.361142895,5.361142895,FALSE,FALSE,FALSE
RandomForest,morgan,250,0.2,512,-0.089390644,2.4465525,3.521940385,1.255126513,9.34054,11.28134,9.11803,FALSE,FALSE,FALSE
LightGBM,morgan,400,0.3,512,-0.097954119,7.440166667,11.01982248,2.300425815,5.269000036,5.269000036,5.269000036,FALSE,FALSE,FALSE
LightGBM,maccs,400,0.3,167,-0.097954119,7.440166667,11.01982248,2.300425815,5.269000036,5.269000036,5.269000036,FALSE,FALSE,FALSE
LightGBM,rdkit,400,0.3,512,-0.097954119,7.440166667,11.01982248,2.300425815,5.269000036,5.269000036,5.269000036,FALSE,FALSE,FALSE
LightGBM,descriptors,400,0.3,217,-0.097954119,7.440166667,11.01982248,2.300425815,5.269000036,5.269000036,5.269000036,FALSE,FALSE,FALSE
LightGBM,all,400,0.3,1408,-0.097954119,7.440166667,11.01982248,2.300425815,5.269000036,5.269000036,5.269000036,FALSE,FALSE,FALSE
CatBoost,rdkit,275,0.3,512,-0.099949872,7.207469134,11.09575325,2.43547E+15,6.702239656,4.734599973,6.907133416,FALSE,FALSE,FALSE
SVR,maccs,375,0.2,167,-0.10693002,2.607012755,3.229704627,4.08316E+15,2.01615105,2.419814678,2.159509706,FALSE,FALSE,FALSE
CatBoost,rdkit,400,0.2,512,-0.109542038,7.126709399,11.64120958,0.635980828,5.504430685,7.718089647,5.191430867,FALSE,FALSE,FALSE
CatBoost,all,350,0.3,1408,-0.120761033,10.8651425,16.67912268,1.46097E+15,2.941819825,6.216392067,4.567434711,FALSE,FALSE,FALSE
LightGBM,morgan,300,0.2,512,-0.149972363,9.60775,13.3307764,5.96009E+15,5.293625038,5.293625038,5.293625038,FALSE,FALSE,FALSE
LightGBM,maccs,300,0.2,167,-0.149972363,9.60775,13.3307764,5.96009E+15,5.293625038,5.293625038,5.293625038,FALSE,FALSE,FALSE
LightGBM,rdkit,300,0.2,512,-0.149972363,9.60775,13.3307764,5.96009E+15,5.293625038,5.293625038,5.293625038,FALSE,FALSE,FALSE
LightGBM,descriptors,300,0.2,217,-0.149972363,9.60775,13.3307764,5.96009E+15,5.293625038,5.293625038,5.293625038,FALSE,FALSE,FALSE
LightGBM,all,300,0.2,1408,-0.149972363,9.60775,13.3307764,5.96009E+15,5.293625038,5.293625038,5.293625038,FALSE,FALSE,FALSE
SVR,descriptors,375,0.2,217,-0.151672663,2.749942065,3.294331144,4.17071E+15,2.899122469,2.573970647,2.642958315,FALSE,FALSE,FALSE
KNN,morgan,300,0.2,512,-0.162606019,12.67455,13.40380268,1.64E+16,14.4004,13.5406,13.5406,TRUE,FALSE,FALSE
RandomForest,morgan,250,0.3,512,-0.171133403,2.098138333,3.000548742,1.287129156,8.92971,11.9031,8.76922,FALSE,FALSE,FALSE
XGBoost,morgan,250,0.2,512,-0.171498359,2.064697075,3.652254411,0.59362072,1.460509181,1.460509181,1.415502071,FALSE,FALSE,FALSE
KNN,morgan,400,0.3,512,-0.184332963,10.34783333,11.44509524,5.791499944,12.6862,11.8264,11.8264,TRUE,FALSE,FALSE
SVR,all,375,0.2,1408,-0.184624214,2.944461656,3.341127321,5.00483E+15,2.117471839,2.669553693,2.35016504,FALSE,FALSE,FALSE
XGBoost,morgan,325,0.2,512,-0.194865899,2.155306516,3.716040789,6.6346E+13,7.299779892,1.329285145,1.329285145,FALSE,FALSE,FALSE
CatBoost,descriptors,350,0.3,217,-0.202313721,11.0105387,17.27529982,2.13884E+15,3.894889612,4.720190827,4.655805665,FALSE,FALSE,FALSE
CatBoost,morgan,250,0.2,512,-0.221838623,3.235591189,3.72989928,2.42591914,11.69495283,13.51073998,11.74583073,TRUE,FALSE,FALSE
SVR,maccs,350,0.2,167,-0.22200912,7.868832362,14.22914512,1.77754E+15,1.783095198,2.029167203,1.938396524,FALSE,FALSE,FALSE
SVR,descriptors,350,0.2,217,-0.222809604,7.896652733,14.2338048,1.61218E+15,2.256815593,2.054575627,2.179322493,FALSE,FALSE,FALSE
XGBoost,maccs,350,0.3,167,-0.230909357,12.06172193,17.47952908,9.4525E+14,3.464042902,3.459918737,4.735973358,FALSE,FALSE,FALSE
CatBoost,rdkit,350,0.3,512,-0.240282602,11.47042217,17.54595525,1.4354E+15,3.607764124,6.020053276,4.111445556,FALSE,FALSE,FALSE
SVR,all,350,0.2,1408,-0.240333196,8.027030502,14.33543147,1.71084E+15,1.792835598,2.060210654,1.978564915,FALSE,FALSE,FALSE
SVR,morgan,350,0.2,512,-0.241383942,8.125033947,14.3415023,2.24604E+15,2.032460329,2.229840713,2.134033395,FALSE,FALSE,FALSE
SVR,rdkit,350,0.2,512,-0.241728207,8.018326737,14.34349078,1.62417E+15,1.834345599,2.138719269,2.031605281,FALSE,FALSE,FALSE
KNN,morgan,300,0.3,512,-0.244937224,10.80863333,11.90901329,9.98388E+15,13.3012,13.3012,13.3012,TRUE,FALSE,FALSE
RandomForest,descriptors,375,0.3,217,-0.251041734,3.427876667,3.92921087,8.06777E+15,14.92172,15.33705,16.63023,TRUE,FALSE,FALSE
KNN,morgan,350,0.2,512,-0.257099325,14.3152,14.4319954,1.77E+16,14.6398,14.6398,14.6398,TRUE,FALSE,FALSE
XGBoost,morgan,375,0.2,512,-0.257937204,2.416893186,3.442961797,3.62164E+15,2.050009012,1.947863579,2.045886993,FALSE,FALSE,FALSE
CatBoost,morgan,250,0.3,512,-0.274755612,2.227784828,3.130480251,1.73327175,6.116912899,13.14947672,6.236858409,FALSE,FALSE,FALSE
XGBoost,all,375,0.3,1408,-0.276090949,3.257409316,3.968352587,3.96092E+15,1.705356479,3.349298239,3.105901003,FALSE,FALSE,FALSE
LightGBM,morgan,350,0.3,512,-0.283481926,11.91830952,17.84890468,2.80719E+15,3.739928556,3.739928556,3.739928556,FALSE,FALSE,FALSE
LightGBM,maccs,350,0.3,167,-0.283481926,11.91830952,17.84890468,2.80719E+15,3.739928556,3.739928556,3.739928556,FALSE,FALSE,FALSE
LightGBM,rdkit,350,0.3,512,-0.283481926,11.91830952,17.84890468,2.80719E+15,3.739928556,3.739928556,3.739928556,FALSE,FALSE,FALSE
LightGBM,descriptors,350,0.3,217,-0.283481926,11.91830952,17.84890468,2.80719E+15,3.739928556,3.739928556,3.739928556,FALSE,FALSE,FALSE
LightGBM,all,350,0.3,1408,-0.283481926,11.91830952,17.84890468,2.80719E+15,3.739928556,3.739928556,3.739928556,FALSE,FALSE,FALSE
XGBoost,maccs,250,0.2,167,-0.288771116,2.898412068,3.830699429,4.337415272,3.614589691,4.321472168,6.703812122,FALSE,FALSE,FALSE
SVR,rdkit,375,0.2,512,-0.292015557,3.17386588,3.489286213,5.66455E+15,2.177817135,2.874372932,2.450751681,FALSE,FALSE,FALSE
CatBoost,morgan,275,0.2,512,-0.312324352,9.847027709,13.1852307,1.54462E+15,3.956413568,4.652363192,3.616498957,FALSE,FALSE,FALSE
SVR,maccs,300,0.3,167,-0.312734385,7.353771673,12.22898702,1.1863E+15,1.729695433,1.988812095,1.901296092,FALSE,FALSE,FALSE
SVR,descriptors,300,0.3,217,-0.313034565,7.36591201,12.23038513,1.14334E+15,2.237468426,2.092484972,2.200334863,FALSE,FALSE,FALSE
SVR,morgan,300,0.3,512,-0.335683119,7.487878009,12.3354152,1.4434E+15,1.92465262,2.041006141,2.008308682,FALSE,FALSE,FALSE
SVR,rdkit,300,0.3,512,-0.340516269,7.357177208,12.35771281,1.02996E+15,1.725336969,1.93152818,1.805136889,FALSE,FALSE,FALSE
SVR,all,300,0.3,1408,-0.341136427,7.421335771,12.36057098,1.12335E+15,1.707059133,1.896758086,1.808180291,FALSE,FALSE,FALSE
LightGBM,morgan,275,0.3,512,-0.352014267,8.986880928,12.30158242,3.28264E+15,4.373357215,4.373357215,4.373357215,FALSE,FALSE,FALSE
LightGBM,maccs,275,0.3,167,-0.352014267,8.986880928,12.30158242,3.28264E+15,4.373357215,4.373357215,4.373357215,FALSE,FALSE,FALSE
LightGBM,rdkit,275,0.3,512,-0.352014267,8.986880928,12.30158242,3.28264E+15,4.373357215,4.373357215,4.373357215,FALSE,FALSE,FALSE
LightGBM,descriptors,275,0.3,217,-0.352014267,8.986880928,12.30158242,3.28264E+15,4.373357215,4.373357215,4.373357215,FALSE,FALSE,FALSE
LightGBM,all,275,0.3,1408,-0.352014267,8.986880928,12.30158242,3.28264E+15,4.373357215,4.373357215,4.373357215,FALSE,FALSE,FALSE
SVR,maccs,300,0.2,167,-0.36183042,9.179944554,14.50685459,1.83427E+15,1.827120102,2.08735003,2.007034752,FALSE,FALSE,FALSE
SVR,maccs,400,0.3,167,-0.364089536,7.12822864,12.28298556,0.557854832,1.564262586,1.817968937,1.788646772,FALSE,FALSE,FALSE
XGBoost,morgan,250,0.3,512,-0.365169462,1.95535007,3.239595481,0.586074021,0.915933669,0.892002046,0.891799152,FALSE,FALSE,FALSE
SVR,descriptors,400,0.3,217,-0.36541155,7.203405692,12.28893617,0.6078009,2.106291453,1.98679738,2.02642566,FALSE,FALSE,FALSE
SVR,descriptors,300,0.2,217,-0.374293524,9.169376981,14.57308481,1.68618E+15,2.284903786,2.115973496,2.20001876,FALSE,FALSE,FALSE
SVR,rdkit,350,0.3,512,-0.388297869,11.47367285,18.56342126,1.08598E+15,1.844555097,2.12456014,2.033479953,FALSE,FALSE,FALSE
SVR,all,400,0.3,1408,-0.390329756,7.227160979,12.40056324,0.615568439,1.590760858,1.773268509,1.690661421,FALSE,FALSE,FALSE
SVR,rdkit,400,0.3,512,-0.390499872,7.181168737,12.40132185,0.583362277,1.633156393,1.809468304,1.709967647,FALSE,FALSE,FALSE
SVR,morgan,300,0.2,512,-0.395090372,9.377052187,14.68293624,2.24981E+15,1.996875241,2.148213863,2.102839742,FALSE,FALSE,FALSE
SVR,morgan,400,0.3,512,-0.398454121,7.244680963,12.43674168,0.616481853,1.735847189,1.818539161,1.802739144,FALSE,FALSE,FALSE
SVR,all,300,0.2,1408,-0.398518062,9.182074344,14.70096292,1.70775E+15,1.745227784,1.96128502,1.889029225,FALSE,FALSE,FALSE
SVR,all,350,0.3,1408,-0.399783154,11.48228806,18.64004999,1.14978E+15,1.752641229,1.978808852,1.91244166,FALSE,FALSE,FALSE
SVR,descriptors,350,0.3,217,-0.400649258,11.40862749,18.64581579,1.10514E+15,2.034439474,1.871924013,1.90665082,FALSE,FALSE,FALSE
CatBoost,rdkit,325,0.2,512,-0.402397335,3.368007498,4.025839235,5.10673E+15,7.263764924,7.411754211,5.949148102,FALSE,FALSE,FALSE
XGBoost,maccs,325,0.3,167,-0.403715823,2.299117597,3.523089291,7.10849E+15,1.61914587,0.592216015,1.658969522,FALSE,FALSE,FALSE
SVR,morgan,350,0.3,512,-0.405057513,11.52359698,18.67513467,1.45975E+15,1.954058807,2.082218327,2.01062623,FALSE,FALSE,FALSE
SVR,rdkit,300,0.2,512,-0.407035819,9.035375765,14.7456635,1.54004E+15,1.718165089,1.932399923,1.853450146,FALSE,FALSE,FALSE
XGBoost,morgan,350,0.3,512,-0.408590215,11.22191748,18.69859715,7.16897E+14,6.053973198,2.037620544,2.000179768,FALSE,FALSE,FALSE
SVR,maccs,350,0.3,167,-0.425748034,11.45081257,18.81213481,1.13434E+15,1.595223235,1.752100559,1.728381533,FALSE,FALSE,FALSE
LightGBM,morgan,400,0.2,512,-0.47962651,9.258656235,13.44318822,0.965339868,4.72568753,4.72568753,4.72568753,FALSE,FALSE,FALSE
LightGBM,maccs,400,0.2,167,-0.47962651,9.258656235,13.44318822,0.965339868,4.72568753,4.72568753,4.72568753,FALSE,FALSE,FALSE
LightGBM,rdkit,400,0.2,512,-0.47962651,9.258656235,13.44318822,0.965339868,4.72568753,4.72568753,4.72568753,FALSE,FALSE,FALSE
LightGBM,descriptors,400,0.2,217,-0.47962651,9.258656235,13.44318822,0.965339868,4.72568753,4.72568753,4.72568753,FALSE,FALSE,FALSE
LightGBM,all,400,0.2,1408,-0.47962651,9.258656235,13.44318822,0.965339868,4.72568753,4.72568753,4.72568753,FALSE,FALSE,FALSE
CatBoost,rdkit,275,0.2,512,-0.499106437,11.26892161,14.09234846,5.5823E+15,5.541093629,3.697379793,5.989362808,FALSE,FALSE,FALSE
XGBoost,morgan,375,0.3,512,-0.505514107,3.101223431,4.310343216,2.53453E+15,2.082337141,2.103217125,2.071653605,FALSE,FALSE,FALSE
XGBoost,all,375,0.2,1408,-0.517093487,3.101063854,3.781019305,6.16384E+15,1.221772075,2.831993103,1.913136125,FALSE,FALSE,FALSE
LightGBM,morgan,275,0.2,512,-0.649730857,11.47803122,14.78337821,4.95502E+15,4.400937568,4.400937568,4.400937568,FALSE,FALSE,FALSE
LightGBM,maccs,275,0.2,167,-0.649730857,11.47803122,14.78337821,4.95502E+15,4.400937568,4.400937568,4.400937568,FALSE,FALSE,FALSE
LightGBM,rdkit,275,0.2,512,-0.649730857,11.47803122,14.78337821,4.95502E+15,4.400937568,4.400937568,4.400937568,FALSE,FALSE,FALSE
LightGBM,descriptors,275,0.2,217,-0.649730857,11.47803122,14.78337821,4.95502E+15,4.400937568,4.400937568,4.400937568,FALSE,FALSE,FALSE
LightGBM,all,275,0.2,1408,-0.649730857,11.47803122,14.78337821,4.95502E+15,4.400937568,4.400937568,4.400937568,FALSE,FALSE,FALSE
RandomForest,maccs,325,0.2,167,-0.658288907,4.0573775,4.377750303,3.98628E+15,17.28332,16.62273,17.38643,TRUE,FALSE,FALSE
CatBoost,descriptors,250,0.2,217,-0.668514829,4.236238872,4.358682305,4.606853988,15.93401016,13.09503779,19.23095361,TRUE,FALSE,FALSE
SVR,maccs,275,0.3,167,-0.680954279,9.640716288,13.71665749,8.61081E+14,1.482024845,1.710501741,1.677875896,FALSE,FALSE,FALSE
KNN,maccs,250,0.2,167,-0.685032064,3.95035,4.380203266,3.831180496,15.8016,16.4166,16.3582,TRUE,FALSE,FALSE
SVR,descriptors,275,0.3,217,-0.695425229,9.709601384,13.77557274,8.47898E+14,1.945656553,1.798820222,1.961824768,FALSE,FALSE,FALSE
RandomForest,all,325,0.2,1408,-0.701701391,3.9430925,4.434682847,2.85249E+15,17.6712,17.63483,20.90114,TRUE,FALSE,FALSE
SVR,all,275,0.3,1408,-0.701748813,9.721204725,13.80123884,1.03257E+15,1.568283909,1.704971924,1.731576502,FALSE,FALSE,FALSE
SVR,rdkit,275,0.3,512,-0.702116609,9.740894921,13.80273018,1.2064E+15,1.668316307,1.797928646,1.840230559,FALSE,FALSE,FALSE
SVR,morgan,275,0.3,512,-0.714277603,9.765521889,13.85195012,9.78683E+14,1.603802694,1.620408453,1.672977207,FALSE,FALSE,FALSE
XGBoost,all,275,0.3,1408,-0.754035407,9.62401445,14.01165778,1.11449E+14,1.872019053,1.771805644,2.005871534,FALSE,FALSE,FALSE
XGBoost,maccs,250,0.3,167,-0.796583399,2.976823659,3.716389233,2.726267815,2.99878788,2.673794985,5.534961224,FALSE,FALSE,FALSE
RandomForest,descriptors,375,0.2,217,-0.820774997,3.72766,4.142198084,9.13667E+15,15.37506,15.50806,17.48451,TRUE,FALSE,FALSE
XGBoost,morgan,275,0.3,512,-0.82531421,9.933023997,14.29351892,8.71694E+12,1.139968753,0.89527148,1.139968753,FALSE,FALSE,FALSE
RandomForest,rdkit,325,0.2,512,-0.828690052,4.4715225,4.597173983,4.7379E+15,17.63242,12.92638,12.30768,TRUE,FALSE,FALSE
CatBoost,maccs,250,0.2,167,-0.831206463,3.815170098,4.566241072,5.274511254,13.46312648,13.21824372,12.66163589,TRUE,FALSE,FALSE
SVR,maccs,400,0.2,167,-0.857986182,10.57442782,15.06424837,0.661114012,1.520067131,1.778167646,1.753672419,FALSE,FALSE,FALSE
SVR,descriptors,400,0.2,217,-0.874473719,10.74062132,15.13093987,0.738286907,2.014987936,1.880689557,1.948814338,FALSE,FALSE,FALSE
SVR,all,400,0.2,1408,-0.913859222,10.72630403,15.28907539,0.674380677,1.495925859,1.653557441,1.602499087,FALSE,FALSE,FALSE
SVR,morgan,400,0.2,512,-0.91847439,10.71830584,15.30749868,0.662475463,1.658096937,1.716800852,1.721960949,FALSE,FALSE,FALSE
SVR,rdkit,400,0.2,512,-0.935269249,10.74138404,15.37435573,0.655465523,1.480986857,1.606235686,1.55352464,FALSE,FALSE,FALSE
CatBoost,descriptors,325,0.3,217,-0.957031646,3.394190853,4.159900825,5.81649E+15,14.05311474,12.26967086,15.14767956,TRUE,FALSE,FALSE
CatBoost,morgan,375,0.3,512,-0.975105046,4.506810737,4.937016029,7.83932E+15,6.294594994,14.52937419,9.020250542,FALSE,FALSE,FALSE
SVR,maccs,275,0.2,167,-1.041370623,12.65930304,16.44478006,1.25578E+15,1.541259085,1.783228002,1.745355118,FALSE,FALSE,FALSE
SVR,descriptors,275,0.2,217,-1.058412826,12.69301481,16.51328129,1.18069E+15,1.998942409,1.838615994,1.914619979,FALSE,FALSE,FALSE
SVR,morgan,275,0.2,512,-1.062783162,12.66024688,16.53080215,1.41733E+15,1.664758307,1.73130298,1.763252407,FALSE,FALSE,FALSE
SVR,all,275,0.2,1408,-1.069542489,12.74673125,16.55786406,1.51562E+15,1.569761108,1.759722404,1.759302056,FALSE,FALSE,FALSE
SVR,rdkit,275,0.2,512,-1.077631172,12.80036079,16.59019021,1.78584E+15,1.645685366,1.836821287,1.859899864,FALSE,FALSE,FALSE
XGBoost,descriptors,375,0.3,217,-1.082643884,4.013324592,5.069637956,7.75748E+15,28.93166733,28.93189049,32.63539886,TRUE,FALSE,FALSE
XGBoost,maccs,375,0.3,167,-1.15799893,4.020101272,5.160538833,7.41682E+15,6.150543213,1.928137898,6.150485516,FALSE,FALSE,FALSE
XGBoost,morgan,275,0.2,512,-1.186698639,12.83261481,17.02008037,5.07825E+13,1.303938627,1.03929162,1.30363822,FALSE,FALSE,FALSE
RandomForest,morgan,375,0.3,512,-1.203821876,4.12815,5.215040468,8.87193E+15,8.72801,12.69784,9.76481,FALSE,FALSE,FALSE
CatBoost,descriptors,375,0.2,217,-1.237913427,4.31821929,4.592237745,9.01658E+15,15.03427318,14.42608552,16.91960953,TRUE,FALSE,FALSE
XGBoost,all,275,0.2,1408,-1.242210049,13.08173803,17.23476184,7.54805E+14,1.591738224,1.158604264,2.053328037,FALSE,FALSE,FALSE
CatBoost,maccs,250,0.3,167,-1.471939545,3.710551046,4.359296659,4.030713893,13.51857282,12.846557,13.89122877,TRUE,FALSE,FALSE
CatBoost,maccs,375,0.3,167,-1.484446863,4.695939778,5.537124572,1.05E+16,8.504607004,7.948989402,10.66103626,FALSE,FALSE,FALSE
XGBoost,rdkit,300,0.3,512,-1.5209222,10.92899859,16.94656864,3.97442E+14,1.346184731,37.53742981,37.53738022,FALSE,FALSE,FALSE
LightGBM,morgan,325,0.2,512,-1.595214556,5.021593791,5.476555879,8.01099E+15,7.115187582,7.115187582,7.115187582,FALSE,FALSE,FALSE
LightGBM,maccs,325,0.2,167,-1.595214556,5.021593791,5.476555879,8.01099E+15,7.115187582,7.115187582,7.115187582,FALSE,FALSE,FALSE
LightGBM,rdkit,325,0.2,512,-1.595214556,5.021593791,5.476555879,8.01099E+15,7.115187582,7.115187582,7.115187582,FALSE,FALSE,FALSE
LightGBM,descriptors,325,0.2,217,-1.595214556,5.021593791,5.476555879,8.01099E+15,7.115187582,7.115187582,7.115187582,FALSE,FALSE,FALSE
LightGBM,all,325,0.2,1408,-1.595214556,5.021593791,5.476555879,8.01099E+15,7.115187582,7.115187582,7.115187582,FALSE,FALSE,FALSE
XGBoost,rdkit,400,0.3,512,-1.602215689,11.20748636,16.96501109,1.494805914,1.048265457,37.53800201,37.53833389,FALSE,FALSE,FALSE
LightGBM,morgan,375,0.3,512,-1.659495193,4.844381006,5.728870995,1.14E+16,7.61407151,7.61407151,7.61407151,FALSE,FALSE,FALSE
LightGBM,maccs,375,0.3,167,-1.659495193,4.844381006,5.728870995,1.14E+16,7.61407151,7.61407151,7.61407151,FALSE,FALSE,FALSE
LightGBM,rdkit,375,0.3,512,-1.659495193,4.844381006,5.728870995,1.14E+16,7.61407151,7.61407151,7.61407151,FALSE,FALSE,FALSE
LightGBM,descriptors,375,0.3,217,-1.659495193,4.844381006,5.728870995,1.14E+16,7.61407151,7.61407151,7.61407151,FALSE,FALSE,FALSE
LightGBM,all,375,0.3,1408,-1.659495193,4.844381006,5.728870995,1.14E+16,7.61407151,7.61407151,7.61407151,FALSE,FALSE,FALSE
CatBoost,all,325,0.3,1408,-1.682314724,4.262734239,4.870111667,8.10441E+15,10.21211151,10.53816469,9.396332602,FALSE,FALSE,FALSE
RandomForest,descriptors,325,0.2,217,-1.68660152,4.304545,5.572146385,1.95079E+15,17.69128,17.685,20.10631,TRUE,FALSE,FALSE
LightGBM,morgan,250,0.2,512,-1.702423899,5.11975004,5.547111767,6.48124596,7.13700008,7.13700008,7.13700008,FALSE,FALSE,FALSE
LightGBM,maccs,250,0.2,167,-1.702423899,5.11975004,5.547111767,6.48124596,7.13700008,7.13700008,7.13700008,FALSE,FALSE,FALSE
LightGBM,rdkit,250,0.2,512,-1.702423899,5.11975004,5.547111767,6.48124596,7.13700008,7.13700008,7.13700008,FALSE,FALSE,FALSE
LightGBM,descriptors,250,0.2,217,-1.702423899,5.11975004,5.547111767,6.48124596,7.13700008,7.13700008,7.13700008,FALSE,FALSE,FALSE
LightGBM,all,250,0.2,1408,-1.702423899,5.11975004,5.547111767,6.48124596,7.13700008,7.13700008,7.13700008,FALSE,FALSE,FALSE
CatBoost,all,375,0.3,1408,-1.710070363,4.593917805,5.783086941,1.09E+16,11.22014233,10.62331551,10.72092967,TRUE,FALSE,FALSE
CatBoost,all,250,0.2,1408,-1.728952825,5.227804194,5.574272481,6.267590208,9.334841058,9.897205372,9.712800709,FALSE,FALSE,FALSE
RandomForest,all,250,0.2,1408,-1.765818679,5.19226,5.611798035,6.55594071,14.59055,16.43818,18.74718,TRUE,FALSE,FALSE
CatBoost,descriptors,325,0.2,217,-1.834807926,3.958549001,5.72377704,2.67683E+15,14.65538457,14.36882774,17.05821371,TRUE,FALSE,FALSE
RandomForest,all,375,0.3,1408,-1.837830421,4.642703333,5.917832355,1.17E+16,12.85521,15.43074,16.74691,TRUE,FALSE,FALSE
RandomForest,descriptors,325,0.3,217,-1.864429843,4.298368333,5.032724389,6.23049E+15,17.48094,18.24803,19.89373,TRUE,FALSE,FALSE
XGBoost,descriptors,375,0.2,217,-1.970848864,4.246493465,5.291063846,1.06E+16,28.88863945,28.88863945,32.62443161,TRUE,FALSE,FALSE
CatBoost,rdkit,250,0.2,512,-1.988146391,4.727974129,5.832988429,6.134223139,5.170068867,10.38871111,7.161355728,FALSE,FALSE,FALSE
RandomForest,descriptors,250,0.2,217,-2.012151391,5.6819825,5.856370952,6.687267617,16.53812,15.74924,19.08724,TRUE,FALSE,FALSE
CatBoost,maccs,325,0.3,167,-2.02610882,4.642125052,5.172807575,9.89796E+15,11.96673586,10.42438229,13.60592195,TRUE,FALSE,FALSE
KNN,maccs,325,0.2,167,-2.186516869,5.61635,6.068467076,2.5317E+15,15.9508,16.5658,16.5658,TRUE,FALSE,FALSE
RandomForest,morgan,375,0.2,512,-2.273462568,4.55267,5.554006867,1.30E+16,9.82819,12.7066,10.34426,FALSE,FALSE,FALSE
RandomForest,maccs,250,0.2,167,-2.31784291,5.2970075,6.146361357,7.183233296,20.12169,20.05248,20.38159,TRUE,FALSE,FALSE
CatBoost,maccs,375,0.2,167,-2.405793078,4.619603948,5.665155722,1.39E+16,8.428913879,7.619342882,8.732063743,FALSE,FALSE,FALSE
KNN,descriptors,375,0.3,217,-2.408695421,4.849366667,6.485799764,1.13E+16,19.0976,13.5406,17.9984,TRUE,FALSE,FALSE
KNN,rdkit,325,0.2,512,-2.534425478,4.69805,6.39116903,8.90812E+14,2.266,11.3964,10.2054,FALSE,FALSE,FALSE
XGBoost,rdkit,400,0.2,512,-2.535106609,16.67848626,20.77913598,2.090912338,1.516808033,37.53811646,37.53811646,FALSE,FALSE,FALSE
RandomForest,all,325,0.3,1408,-2.54770669,4.790805,5.600901125,8.58067E+15,15.11593,15.62339,17.47746,TRUE,FALSE,FALSE
KNN,descriptors,375,0.2,217,-2.629190611,5.2954,5.848003343,1.01E+16,19.0976,13.5406,19.0976,TRUE,FALSE,FALSE
LightGBM,morgan,375,0.2,512,-2.849086091,5.22212504,6.022565546,1.64E+16,7.292750079,7.292750079,7.292750079,FALSE,FALSE,FALSE
LightGBM,maccs,375,0.2,167,-2.849086091,5.22212504,6.022565546,1.64E+16,7.292750079,7.292750079,7.292750079,FALSE,FALSE,FALSE
LightGBM,rdkit,375,0.2,512,-2.849086091,5.22212504,6.022565546,1.64E+16,7.292750079,7.292750079,7.292750079,FALSE,FALSE,FALSE
LightGBM,descriptors,375,0.2,217,-2.849086091,5.22212504,6.022565546,1.64E+16,7.292750079,7.292750079,7.292750079,FALSE,FALSE,FALSE
LightGBM,all,375,0.2,1408,-2.849086091,5.22212504,6.022565546,1.64E+16,7.292750079,7.292750079,7.292750079,FALSE,FALSE,FALSE
CatBoost,all,375,0.2,1408,-2.9126975,5.534607829,6.072127181,1.33E+16,9.400203205,10.00764133,10.87917667,FALSE,FALSE,FALSE
CatBoost,rdkit,325,0.3,512,-2.946190233,5.077782177,5.907082838,1.23E+16,5.476541405,7.871410582,9.22581082,FALSE,FALSE,FALSE
CatBoost,all,250,0.3,1408,-3.14391937,5.098101249,5.644209824,4.644975344,15.46120733,13.70674967,10.72303941,TRUE,FALSE,FALSE
XGBoost,maccs,375,0.2,167,-3.221051233,5.077104232,6.306857734,1.32E+16,2.867970705,3.835794449,2.604501009,FALSE,FALSE,FALSE
XGBoost,descriptors,250,0.2,217,-3.287514128,6.975771297,6.987035696,7.067154766,29.23327637,29.26393509,32.61991119,TRUE,FALSE,FALSE
CatBoost,rdkit,375,0.3,512,-3.301343715,5.201127977,7.285703815,1.12E+16,7.439710607,9.549550619,6.81030596,FALSE,FALSE,FALSE
LightGBM,morgan,250,0.3,512,-3.405392195,5.376452443,5.819555188,5.474053534,7.791428664,7.791428664,7.791428664,FALSE,FALSE,FALSE
LightGBM,maccs,250,0.3,167,-3.405392195,5.376452443,5.819555188,5.474053534,7.791428664,7.791428664,7.791428664,FALSE,FALSE,FALSE
