smiles,alter,split,number,group,CAS
C1=CC(=C(C=C1C2=CC(=C(C=C2)N)S(=O)(=O)O)S(=O)(=O)O)N  ,0,,40,N,
C1=CC(=CC=C1C2=CC=C(C=C2)N)C3=CC=C(C=C3)N  ,0,,41,N,
CC1=CC(=C(C=C1C2=CC=C(C=C2)N)C)C3=CC=C(C=C3)N  ,0,,42,N,
CCSCC1=CC(=C(C=C1C2=CC=C(C=C2)N)CSCC)C3=CC=C(C=C3)N  ,0,,43,N,
C1=CC(=CC=C1C2=CC=C(C=C2)C3=CC=C(C=C3)N)C4=CC=C(C=C4)N  ,0,,44,N,
C1=CC2=CC(=CC3=C2C4=C(C=C3)C=C(C=C41)N)N  ,0,,45,N,
C1=CC(=CC2=CC3=C(C=C21)C=C(C=C3)N)N  ,0,,46,N,
C1=CC=C2C(=C1)C(=C3C=CC=CC3=C2C4=CC=C(C=C4)N)C5=CC=C(C=C5)N  ,0,,47,N,
C1=C2C(=CC3=C1C(=O)N(C3=O)N)C(=O)N(C2=O)N  ,0,,48,N,
C1=CC2=C(C=C1N)S(=O)(=O)C3=CC4=C(C=C23)S(=O)(=O)C5=C4C=CC(=C5)N  ,0,,49,N,
C1=CC(=NC=C1N)C2=NC=C(C=C2)N  ,0,,50,N,
C1=CC(=CC=C1N)[N+]2=CC=C(C=C2)C3=CC=[N+](C=C3)C4=CC=C(C=C4)N.[Cl-].[Cl-]  ,0,,51,N,
C1=C2C(=CC3=C1SC(=N3)N)SC(=N2)N  ,0,,52,N,
C1(=NC(=NN1)N)C2=NC(=NN2)N  ,0,,53,N,
C1C(CC1N)N.Cl.Cl  ,0,,54,N,
C1=CC(=CC=C1C#CC2=CC=C(C=C2)N)N  ,0,,55,N,
C1=CC(=CC=C1C#CC#CC2=CC=C(C=C2)N)N  ,0,,56,N,
C1=CC(=CC=C1N)N=NC2=CC=C(C=C2)N  ,0,,57,N,
C1=CC(=CC=C1N)OCCOC2=CC=C(C=C2)N  ,0,,58,N,
C1=CC(=CC=C1C=O)C2=CC(=C(C=C2C#CC3=CC=C(C=C3)N)C4=CC=C(C=C4)C=O)C#CC5=CC=C(C=C5)N  ,0,,59,N,
C1=C(C=C2C3=C1C(=O)C(=O)C4=C3C(=CC(=C4)N)C(=O)C2=O)N  ,0,,60,N,
CC1=C(C2=CC=CC=C2C(=C1)C3=CC(=C(C4=CC=CC=C43)N)C)N  ,0,,61,N,
C1=CC(=CC=C1N)N2C(=O)C3=C4C(=CC=C5C4=C(C=C3)C(=O)N(C5=O)C6=CC=C(C=C6)N)C2=O  ,0,,62,N,
C1=C(N=C(S1)N)C2=CSC(=N2)N  ,0,,63,N,
C1=CC(=C(C=C1N)C(=O)O)C2=C(C=C(C=C2)N)C(=O)O  ,0,,64,N,
C1=CC(=CC=C1/C=C/C2=CC=C(C=C2)N)N  ,0,,65,N,
C1=C(C(=N)N)C=NC(C2=CC=C(C(=N)N)C=N2)=C1.[H]Cl.[H]Cl,0,,66,N,
NC1C=C2C(=CC=1)N=C(C1SC3C=C(C=CC3N=1)N)S2,0,,67,N,
C1=CC(=CC=C1N)[Te][Te]C2=CC=C(C=C2)N  ,0,,68,N,
C1=CC(=CC=C1C2=CC=C(C=C2)NC(=S)N)NC(=S)N  ,0,,69,N,
C1=CC(=CC=C1C2=NC3=CC4=C(C=C3O2)OC(=N4)C5=CC=C(C=C5)N)N  ,0,,70,N,
C1=CN=C(C=C1C2=CC(=NC=C2)N)N  ,0,,71,N,
C1=CC(=CC=C1C2=C(C=C(C=C2)N)C(=O)O)C3=C(C=C(C=C3)N)C(=O)O  ,0,,72,N,
NC1C=CC(C2C=C(CCC)C(C3C=CC(=CC=3)N)=CC=2CCC)=CC=1,0,,73,N,
C(C1=C(C(=C(C(=C1F)F)CN)F)F)N  ,0,,74,N,
C1=CC2=C3C(=CC=C4C3=C1C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)CCN)C(=O)N(C2=O)CCN  ,0,,75,N,
C1=CC(=CC=C1C2=CN=C(C=C2)C3=NC=C(C=C3)C4=CC=C(C=C4)N)N  ,0,,76,N,
C1=CC(=C(C=C1C2=CC(=C(C=C2)N)Br)Br)N  ,0,,77,N,
C1=CC(=CC=C1N)[Se][Se]C2=CC=C(C=C2)N  ,0,,78,N,
C1=CC2=C(C=CC3=C2C4=C1C=CC(=C4C=C3)N)N  ,0,,79,N,
C1=CC(=C(C=C1C(=O)NN)N)C(=O)NN  ,0,,80,N,
COC1=CC(=C(C=C1C2=CC=C(C=C2)N)OC)C3=CC=C(C=C3)N  ,0,,81,N,
C1(=NN=C(N=N1)N)N  ,0,,82,N,
C1=CC(=CC=C1NC(=S)N)NC(=S)N  ,0,,83,N,
C1=CC2=C(C=CC(=C2)N)C=C1N  ,0,,84,N,
C1=CC2=C3C(=CC=C4C3=C1C(=O)N(C4=O)N)C(=O)N(C2=O)N  ,0,,85,N,
C1=CC2=C3C(=CC=C4C3=C1C5=C6C4=CC=C7C6=C(C=C5)C(=O)N(C7=O)N)C(=O)N(C2=O)N  ,0,,86,N,
