#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 120 140
# Band-Index    1
   0.00000    -44.193915    -44.193916
   0.01135    -44.193917    -44.193917
   0.02269    -44.193917    -44.193917
   0.03404    -44.193917    -44.193917
   0.04539    -44.193918    -44.193917
   0.05674    -44.193919    -44.193919
   0.06808    -44.193918    -44.193919
   0.07943    -44.193918    -44.193920
   0.09078    -44.193918    -44.193919
   0.10212    -44.193918    -44.193918
   0.11347    -44.193919    -44.193919
   0.12482    -44.193919    -44.193919
   0.13617    -44.193918    -44.193917
   0.14751    -44.193917    -44.193917
   0.15886    -44.193916    -44.193915
   0.17021    -44.193915    -44.193915
   0.18156    -44.193916    -44.193915
   0.19290    -44.193915    -44.193914
   0.20425    -44.193916    -44.193913
   0.21560    -44.193915    -44.193914
   0.21560    -44.193915    -44.193914
   0.22694    -44.193915    -44.193913
   0.23829    -44.193914    -44.193913
   0.24964    -44.193915    -44.193914
   0.26099    -44.193915    -44.193915
   0.27233    -44.193916    -44.193916
   0.28368    -44.193916    -44.193916
   0.29503    -44.193917    -44.193917
   0.30637    -44.193917    -44.193917
   0.31772    -44.193915    -44.193917
   0.32907    -44.193917    -44.193919
   0.34042    -44.193918    -44.193918
   0.35176    -44.193919    -44.193919
   0.36311    -44.193919    -44.193919
   0.37446    -44.193918    -44.193919
   0.38581    -44.193919    -44.193919
   0.39715    -44.193920    -44.193920
   0.40850    -44.193920    -44.193920
   0.41985    -44.193920    -44.193920
   0.43119    -44.193922    -44.193922
   0.43119    -44.193922    -44.193922
   0.44724    -44.193920    -44.193919
   0.46329    -44.193921    -44.193920
   0.47934    -44.193920    -44.193919
   0.49538    -44.193919    -44.193919
   0.51143    -44.193919    -44.193916
   0.52748    -44.193919    -44.193915
   0.54353    -44.193919    -44.193915
   0.55957    -44.193918    -44.193915
   0.57562    -44.193918    -44.193915
   0.59167    -44.193918    -44.193916
   0.60772    -44.193918    -44.193916
   0.62376    -44.193918    -44.193917
   0.63981    -44.193918    -44.193919
   0.65586    -44.193917    -44.193919
   0.67190    -44.193917    -44.193919
   0.68795    -44.193916    -44.193918
   0.70400    -44.193917    -44.193918
   0.72005    -44.193917    -44.193917
   0.73609    -44.193915    -44.193916
   0.73609    -44.193915    -44.193916
   0.75214    -44.193917    -44.193917
   0.76819    -44.193918    -44.193917
   0.78424    -44.193918    -44.193916
   0.80028    -44.193919    -44.193917
   0.81633    -44.193919    -44.193917
   0.83238    -44.193919    -44.193918
   0.84843    -44.193917    -44.193918
   0.86447    -44.193916    -44.193918
   0.88052    -44.193916    -44.193918
   0.89657    -44.193915    -44.193918
   0.91262    -44.193915    -44.193918
   0.92866    -44.193915    -44.193919
   0.94471    -44.193915    -44.193919
   0.96076    -44.193916    -44.193919
   0.97681    -44.193919    -44.193920
   0.99285    -44.193919    -44.193920
   1.00890    -44.193920    -44.193921
   1.02495    -44.193919    -44.193920
   1.04099    -44.193922    -44.193922
   1.04099    -44.193922    -44.193922
   1.05234    -44.193920    -44.193921
   1.06369    -44.193920    -44.193920
   1.07504    -44.193920    -44.193920
   1.08638    -44.193919    -44.193919
   1.09773    -44.193919    -44.193919
   1.10908    -44.193919    -44.193919
   1.12043    -44.193919    -44.193919
   1.13177    -44.193918    -44.193918
   1.14312    -44.193919    -44.193918
   1.15447    -44.193916    -44.193916
   1.16581    -44.193917    -44.193917
   1.17716    -44.193917    -44.193917
   1.18851    -44.193916    -44.193916
   1.19986    -44.193916    -44.193916
   1.21120    -44.193915    -44.193915
   1.22255    -44.193914    -44.193915
   1.23390    -44.193913    -44.193915
   1.24524    -44.193913    -44.193915
   1.25659    -44.193914    -44.193916
   1.25659    -44.193914    -44.193916
   1.26794    -44.193913    -44.193916
   1.27929    -44.193914    -44.193915
   1.29063    -44.193915    -44.193916
   1.30198    -44.193915    -44.193915
   1.31333    -44.193915    -44.193916
   1.32468    -44.193917    -44.193917
   1.33602    -44.193917    -44.193918
   1.34737    -44.193919    -44.193919
   1.35872    -44.193919    -44.193919
   1.37006    -44.193918    -44.193918
   1.38141    -44.193919    -44.193918
   1.39276    -44.193920    -44.193919
   1.40411    -44.193919    -44.193918
   1.41545    -44.193918    -44.193919
   1.42680    -44.193917    -44.193918
   1.43815    -44.193917    -44.193917
   1.44949    -44.193917    -44.193917
   1.46084    -44.193917    -44.193917
   1.47219    -44.193915    -44.193916
 
# Band-Index    2
   1.47219    -44.159958    -44.159958
   1.46084    -44.159959    -44.159960
   1.44949    -44.159960    -44.159959
   1.43815    -44.159960    -44.159959
   1.42680    -44.159960    -44.159960
   1.41545    -44.159961    -44.159961
   1.40411    -44.159960    -44.159961
   1.39276    -44.159961    -44.159963
   1.38141    -44.159960    -44.159961
   1.37006    -44.159961    -44.159961
   1.35872    -44.159962    -44.159962
   1.34737    -44.159961    -44.159961
