#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 120 312
# Band-Index    1
   0.00000    -44.723355    -44.723355
   0.00826    -44.723356    -44.723356
   0.01651    -44.723356    -44.723356
   0.02477    -44.723356    -44.723356
   0.03303    -44.723356    -44.723356
   0.04129    -44.723356    -44.723356
   0.04954    -44.723356    -44.723356
   0.05780    -44.723356    -44.723356
   0.06606    -44.723357    -44.723357
   0.07431    -44.723356    -44.723357
   0.08257    -44.723357    -44.723357
   0.09083    -44.723357    -44.723357
   0.09909    -44.723357    -44.723357
   0.10734    -44.723357    -44.723357
   0.11560    -44.723357    -44.723357
   0.12386    -44.723357    -44.723357
   0.13211    -44.723357    -44.723357
   0.14037    -44.723357    -44.723357
   0.14863    -44.723357    -44.723357
   0.15688    -44.723357    -44.723357
   0.15688    -44.723357    -44.723357
   0.16514    -44.723357    -44.723357
   0.17340    -44.723357    -44.723357
   0.18166    -44.723357    -44.723357
   0.18991    -44.723357    -44.723357
   0.19817    -44.723357    -44.723357
   0.20643    -44.723357    -44.723358
   0.21468    -44.723357    -44.723357
   0.22294    -44.723357    -44.723357
   0.23120    -44.723357    -44.723357
   0.23946    -44.723357    -44.723357
   0.24771    -44.723357    -44.723357
   0.25597    -44.723357    -44.723357
   0.26423    -44.723357    -44.723357
   0.27248    -44.723357    -44.723357
   0.28074    -44.723357    -44.723357
   0.28900    -44.723357    -44.723357
   0.29726    -44.723357    -44.723357
   0.30551    -44.723358    -44.723358
   0.31377    -44.723358    -44.723358
   0.31377    -44.723358    -44.723358
   0.32545    -44.723358    -44.723358
   0.33712    -44.723357    -44.723357
   0.34880    -44.723358    -44.723358
   0.36048    -44.723357    -44.723357
   0.37216    -44.723357    -44.723357
   0.38383    -44.723357    -44.723357
   0.39551    -44.723357    -44.723357
   0.40719    -44.723357    -44.723357
   0.41887    -44.723357    -44.723357
   0.43054    -44.723357    -44.723357
   0.44222    -44.723357    -44.723357
   0.45390    -44.723357    -44.723357
   0.46557    -44.723357    -44.723357
   0.47725    -44.723357    -44.723357
   0.48893    -44.723357    -44.723357
   0.50061    -44.723356    -44.723356
   0.51228    -44.723356    -44.723356
   0.52396    -44.723356    -44.723356
   0.53564    -44.723355    -44.723355
   0.53564    -44.723355    -44.723355
   0.54732    -44.723356    -44.723356
   0.55899    -44.723356    -44.723356
   0.57067    -44.723356    -44.723356
   0.58235    -44.723357    -44.723357
   0.59402    -44.723356    -44.723357
   0.60570    -44.723357    -44.723357
   0.61738    -44.723357    -44.723357
   0.62906    -44.723357    -44.723357
   0.64073    -44.723357    -44.723357
   0.65241    -44.723357    -44.723357
   0.66409    -44.723357    -44.723357
   0.67577    -44.723357    -44.723357
   0.68744    -44.723357    -44.723357
   0.69912    -44.723357    -44.723357
   0.71080    -44.723357    -44.723357
   0.72247    -44.723358    -44.723358
   0.73415    -44.723357    -44.723357
   0.74583    -44.723358    -44.723358
   0.75751    -44.723358    -44.723358
   0.75751    -44.723358    -44.723358
   0.76576    -44.723358    -44.723358
   0.77402    -44.723357    -44.723357
   0.78228    -44.723357    -44.723357
   0.79053    -44.723357    -44.723357
   0.79879    -44.723357    -44.723357
   0.80705    -44.723357    -44.723357
   0.81531    -44.723357    -44.723357
   0.82356    -44.723357    -44.723357
   0.83182    -44.723357    -44.723357
   0.84008    -44.723357    -44.723357
   0.84833    -44.723357    -44.723357
   0.85659    -44.723357    -44.723357
   0.86485    -44.723357    -44.723358
   0.87311    -44.723357    -44.723357
   0.88136    -44.723357    -44.723357
   0.88962    -44.723357    -44.723357
   0.89788    -44.723357    -44.723357
   0.90613    -44.723357    -44.723357
   0.91439    -44.723357    -44.723357
   0.91439    -44.723357    -44.723357
   0.92265    -44.723357    -44.723357
   0.93091    -44.723357    -44.723357
   0.93916    -44.723357    -44.723357
   0.94742    -44.723357    -44.723357
   0.95568    -44.723357    -44.723357
   0.96393    -44.723357    -44.723357
   0.97219    -44.723357    -44.723357
   0.98045    -44.723357    -44.723357
   0.98871    -44.723357    -44.723357
   0.99696    -44.723356    -44.723357
   1.00522    -44.723357    -44.723357
   1.01348    -44.723356    -44.723356
   1.02173    -44.723356    -44.723356
   1.02999    -44.723356    -44.723356
   1.03825    -44.723356    -44.723356
   1.04650    -44.723356    -44.723356
   1.05476    -44.723356    -44.723356
   1.06302    -44.723356    -44.723356
   1.07128    -44.723355    -44.723355
 
# Band-Index    2
   1.07128    -44.483867    -44.483867
   1.06302    -44.483867    -44.483868
   1.05476    -44.483868    -44.483868
   1.04650    -44.483868    -44.483869
   1.03825    -44.483869    -44.483869
   1.02999    -44.483868    -44.483868
   1.02173    -44.483869    -44.483868
   1.01348    -44.483869    -44.483869
   1.00522    -44.483869    -44.483868
   0.99696    -44.483869    -44.483868
   0.98871    -44.483870    -44.483868
   0.98045    -44.483870    -44.483869
   0.97219    -44.483870    -44.483868
   0.96393    -44.483869    -44.483867
   0.95568    -44.483868    -44.483867
   0.94742    -44.483868    -44.483867
   0.93916    -44.483868    -44.483868
   0.93091    -44.483868    -44.483868
   0.92265    -44.483868    -44.483867
   0.91439    -44.483868    -44.483869
   0.91439    -44.483868    -44.483869
   0.90613    -44.483868    -44.483869
   0.89788    -44.483869    -44.483868
   0.88962    -44.483869    -44.483868
   0.88136    -44.483868    -44.483868
   0.87311    -44.483868    -44.483869
   0.86485    -44.483869    -44.483870
   0.85659    -44.483870    -44.483869
   0.84833    -44.483870    -44.483869
   0.84008    -44.483870    -44.483869
   0.83182    -44.483870    -44.483870
   0.82356    -44.483869    -44.483869
   0.81531    -44.483869    -44.483869
   0.80705    -44.483869    -44.483870
   0.79879    -44.483868    -44.483869
   0.79053    -44.483870    -44.483870
   0.78228    -44.483869    -44.483870
   0.77402    -44.483871    -44.483871
   0.76576    -44.483871    -44.483872
   0.75751    -44.483871    -44.483871
   0.75751    -44.483871    -44.483871
   0.74583    -44.483872    -44.483872
   0.73415    -44.483872    -44.483870
   0.72247    -44.483872    -44.483870
   0.71080    -44.483871    -44.483870
   0.69912    -44.483870    -44.483869
   0.68744    -44.483870    -44.483870
   0.67577    -44.483870    -44.483870
   0.66409    -44.483870    -44.483868
   0.65241    -44.483870    -44.483869
   0.64073    -44.483869    -44.483869
   0.62906    -44.483869    -44.483869
   0.61738    -44.483870    -44.483868
   0.60570    -44.483869    -44.483868
   0.59402    -44.483869    -44.483869
   0.58235    -44.483868    -44.483869
   0.57067    -44.483868    -44.483868
   0.55899    -44.483868    -44.483869
   0.54732    -44.483868    -44.483868
   0.53564    -44.483867    -44.483867
   0.53564    -44.483867    -44.483867
   0.52396    -44.483868    -44.483868
   0.51228    -44.483868    -44.483868
   0.50061    -44.483868    -44.483869
   0.48893    -44.483869    -44.483868
   0.47725    -44.483868    -44.483869
   0.46557    -44.483868    -44.483870
   0.45390    -44.483868    -44.483870
   0.44222    -44.483868    -44.483869
   0.43054    -44.483869    -44.483870
   0.41887    -44.483869    -44.483870
   0.40719    -44.483868    -44.483870
   0.39551    -44.483870    -44.483870
   0.38383    -44.483870    -44.483870
   0.37216    -44.483869    -44.483870
   0.36048    -44.483870    -44.483871
   0.34880    -44.483870    -44.483872
   0.33712    -44.483870    -44.483872
   0.32545    -44.483871    -44.483872
   0.31377    -44.483871    -44.483871
   0.31377    -44.483871    -44.483871
   0.30551    -44.483872    -44.483871
   0.29726    -44.483871    -44.483871
   0.28900    -44.483870    -44.483869
   0.28074    -44.483870    -44.483870
   0.27248    -44.483869    -44.483868
   0.26423    -44.483869    -44.483869
   0.25597    -44.483869    -44.483870
   0.24771    -44.483869    -44.483869
   0.23946    -44.483870    -44.483870
   0.23120    -44.483869    -44.483870
   0.22294    -44.483869    -44.483871
   0.21468    -44.483869    -44.483870
   0.20643    -44.483869    -44.483869
   0.19817    -44.483869    -44.483869
   0.18991    -44.483868    -44.483868
   0.18166    -44.483868    -44.483869
   0.17340    -44.483868    -44.483869
   0.16514    -44.483869    -44.483868
   0.15688    -44.483868    -44.483869
   0.15688    -44.483868    -44.483869
   0.14863    -44.483867    -44.483868
   0.14037    -44.483867    -44.483868
   0.13211    -44.483868    -44.483868
   0.12386    -44.483867    -44.483868
   0.11560    -44.483867    -44.483868
   0.10734    -44.483867    -44.483869
   0.09909    -44.483868    -44.483870
   0.09083    -44.483868    -44.483870
   0.08257    -44.483868    -44.483870
   0.07431    -44.483868    -44.483869
   0.06606    -44.483868    -44.483869
   0.05780    -44.483869    -44.483869
   0.04954    -44.483868    -44.483869
   0.04129    -44.483868    -44.483869
   0.03303    -44.483869    -44.483869
   0.02477    -44.483869    -44.483869
   0.01651    -44.483868    -44.483868
   0.00826    -44.483868    -44.483867
   0.00000    -44.483867    -44.483867
 
# Band-Index    3
   0.00000    -44.476468    -44.476468
   0.00826    -44.476468    -44.476469
   0.01651    -44.476469    -44.476469
   0.02477    -44.476469    -44.476470
   0.03303    -44.476470    -44.476470
   0.04129    -44.476469    -44.476469
   0.04954    -44.476470    -44.476469
   0.05780    -44.476470    -44.476470
   0.06606    -44.476470    -44.476469
   0.07431    -44.476470    -44.476469
   0.08257    -44.476471    -44.476469
   0.09083    -44.476471    -44.476470
   0.09909    -44.476471    -44.476469
   0.10734    -44.476470    -44.476468
   0.11560    -44.476469    -44.476468
   0.12386    -44.476469    -44.476468
   0.13211    -44.476469    -44.476469
   0.14037    -44.476469    -44.476469
   0.14863    -44.476469    -44.476468
   0.15688    -44.476470    -44.476470
   0.15688    -44.476470    -44.476470
   0.16514    -44.476469    -44.476470
   0.17340    -44.476470    -44.476469
   0.18166    -44.476470    -44.476469
   0.18991    -44.476469    -44.476470
   0.19817    -44.476470    -44.476470
   0.20643    -44.476470    -44.476471
   0.21468    -44.476471    -44.476470
   0.22294    -44.476472    -44.476470
   0.23120    -44.476471    -44.476470
