#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  90 212
# Band-Index    1
   0.00000    -45.019755    -45.019755
   0.01144    -45.019755    -45.019755
   0.02288    -45.019754    -45.019755
   0.03432    -45.019754    -45.019754
   0.04575    -45.019753    -45.019754
   0.05719    -45.019752    -45.019753
   0.06863    -45.019753    -45.019753
   0.08007    -45.019753    -45.019753
   0.09151    -45.019754    -45.019754
   0.10295    -45.019754    -45.019754
   0.11439    -45.019755    -45.019754
   0.12583    -45.019754    -45.019754
   0.13726    -45.019754    -45.019754
   0.14870    -45.019754    -45.019754
   0.16014    -45.019753    -45.019753
   0.16014    -45.019753    -45.019753
   0.17158    -45.019752    -45.019753
   0.18302    -45.019753    -45.019754
   0.19446    -45.019753    -45.019753
   0.20590    -45.019754    -45.019753
   0.21733    -45.019754    -45.019754
   0.22877    -45.019754    -45.019754
   0.24021    -45.019754    -45.019754
   0.25165    -45.019754    -45.019753
   0.26309    -45.019753    -45.019753
   0.27453    -45.019754    -45.019754
   0.28597    -45.019755    -45.019755
   0.29741    -45.019754    -45.019754
   0.30884    -45.019754    -45.019753
   0.32028    -45.019756    -45.019756
   0.32028    -45.019756    -45.019756
   0.33646    -45.019754    -45.019753
   0.35264    -45.019754    -45.019754
   0.36881    -45.019753    -45.019753
   0.38499    -45.019753    -45.019752
   0.40117    -45.019753    -45.019753
   0.41734    -45.019753    -45.019753
   0.43352    -45.019753    -45.019753
   0.44970    -45.019753    -45.019753
   0.46587    -45.019754    -45.019753
   0.48205    -45.019754    -45.019753
   0.49823    -45.019754    -45.019753
   0.51440    -45.019755    -45.019754
   0.53058    -45.019755    -45.019755
   0.54676    -45.019755    -45.019755
   0.54676    -45.019755    -45.019755
   0.56293    -45.019755    -45.019755
   0.57911    -45.019754    -45.019755
   0.59529    -45.019753    -45.019754
   0.61146    -45.019753    -45.019754
   0.62764    -45.019753    -45.019754
   0.64382    -45.019753    -45.019753
   0.65999    -45.019753    -45.019753
   0.67617    -45.019753    -45.019753
   0.69235    -45.019753    -45.019753
   0.70852    -45.019752    -45.019753
   0.72470    -45.019753    -45.019753
   0.74088    -45.019754    -45.019754
   0.75705    -45.019753    -45.019754
   0.77323    -45.019756    -45.019756
   0.77323    -45.019756    -45.019756
   0.78467    -45.019753    -45.019754
   0.79611    -45.019754    -45.019754
   0.80755    -45.019755    -45.019755
   0.81899    -45.019754    -45.019754
   0.83042    -45.019753    -45.019753
   0.84186    -45.019753    -45.019754
   0.85330    -45.019754    -45.019754
   0.86474    -45.019754    -45.019754
   0.87618    -45.019754    -45.019754
   0.88762    -45.019753    -45.019754
   0.89906    -45.019753    -45.019753
   0.91050    -45.019754    -45.019753
   0.92193    -45.019753    -45.019752
   0.93337    -45.019753    -45.019753
   0.93337    -45.019753    -45.019753
   0.94481    -45.019754    -45.019754
   0.95625    -45.019754    -45.019754
   0.96769    -45.019754    -45.019754
   0.97913    -45.019754    -45.019755
   0.99057    -45.019754    -45.019754
   1.00201    -45.019754    -45.019754
   1.01344    -45.019753    -45.019753
   1.02488    -45.019753    -45.019753
   1.03632    -45.019753    -45.019752
   1.04776    -45.019754    -45.019753
   1.05920    -45.019754    -45.019754
   1.07064    -45.019755    -45.019754
   1.08208    -45.019755    -45.019755
   1.09351    -45.019755    -45.019755
 
# Band-Index    2
   1.09351    -45.018410    -45.018410
   1.08208    -45.018409    -45.018409
   1.07064    -45.018409    -45.018409
   1.05920    -45.018408    -45.018409
   1.04776    -45.018408    -45.018408
   1.03632    -45.018407    -45.018407
   1.02488    -45.018407    -45.018408
   1.01344    -45.018408    -45.018408
   1.00201    -45.018408    -45.018409
   0.99057    -45.018408    -45.018409
   0.97913    -45.018409    -45.018409
   0.96769    -45.018408    -45.018408
   0.95625    -45.018408    -45.018408
   0.94481    -45.018408    -45.018408
   0.93337    -45.018407    -45.018407
   0.93337    -45.018407    -45.018407
   0.92193    -45.018407    -45.018407
   0.91050    -45.018407    -45.018408
   0.89906    -45.018407    -45.018408
   0.88762    -45.018408    -45.018407
   0.87618    -45.018409    -45.018408
   0.86474    -45.018409    -45.018409
   0.85330    -45.018408    -45.018408
   0.84186    -45.018408    -45.018408
   0.83042    -45.018408    -45.018407
   0.81899    -45.018408    -45.018408
   0.80755    -45.018409    -45.018409
   0.79611    -45.018408    -45.018408
   0.78467    -45.018408    -45.018408
   0.77323    -45.018410    -45.018410
   0.77323    -45.018410    -45.018410
   0.75705    -45.018409    -45.018408
   0.74088    -45.018408    -45.018409
   0.72470    -45.018408    -45.018408
   0.70852    -45.018407    -45.018407
   0.69235    -45.018407    -45.018408
   0.67617    -45.018407    -45.018407
   0.65999    -45.018407    -45.018407
   0.64382    -45.018408    -45.018407
   0.62764    -45.018408    -45.018408
   0.61146    -45.018408    -45.018407
   0.59529    -45.018409    -45.018407
   0.57911    -45.018409    -45.018409
   0.56293    -45.018409    -45.018409
   0.54676    -45.018410    -45.018410
   0.54676    -45.018410    -45.018410
   0.53058    -45.018409    -45.018409
   0.51440    -45.018409    -45.018409
   0.49823    -45.018407    -45.018409
   0.48205    -45.018407    -45.018408
   0.46587    -45.018408    -45.018408
   0.44970    -45.018407    -45.018408
   0.43352    -45.018407    -45.018407
   0.41734    -45.018407    -45.018407
   0.40117    -45.018408    -45.018407
   0.38499    -45.018407    -45.018407
   0.36881    -45.018408    -45.018408
   0.35264    -45.018409    -45.018408
   0.33646    -45.018408    -45.018409
   0.32028    -45.018410    -45.018410
   0.32028    -45.018410    -45.018410
   0.30884    -45.018408    -45.018408
   0.29741    -45.018408    -45.018408
   0.28597    -45.018409    -45.018409
   0.27453    -45.018408    -45.018408
   0.26309    -45.018407    -45.018408
   0.25165    -45.018408    -45.018408
   0.24021    -45.018408    -45.018408
   0.22877    -45.018409    -45.018409
   0.21733    -45.018408    -45.018409
   0.20590    -45.018407    -45.018408
   0.19446    -45.018408    -45.018407
   0.18302    -45.018408    -45.018407
   0.17158    -45.018407    -45.018407
   0.16014    -45.018407    -45.018407
   0.16014    -45.018407    -45.018407
   0.14870    -45.018408    -45.018408
   0.13726    -45.018408    -45.018408
   0.12583    -45.018408    -45.018408
   0.11439    -45.018409    -45.018409
   0.10295    -45.018409    -45.018408
   0.09151    -45.018409    -45.018408
   0.08007    -45.018408    -45.018408
   0.06863    -45.018408    -45.018407
   0.05719    -45.018407    -45.018407
   0.04575    -45.018408    -45.018408
   0.03432    -45.018409    -45.018408
   0.02288    -45.018409    -45.018409
   0.01144    -45.018409    -45.018409
   0.00000    -45.018410    -45.018410
 
# Band-Index    3
   0.00000    -44.746045    -44.746045
   0.01144    -44.746045    -44.746045
